session,tool,gap_tok,det_class,result_equiv,non_recoverable,footprint_tok
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,304.8,VOLATILE,False,True,419.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,689.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,291.2,VOLATILE,False,True,419.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,672.5,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,678.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,421.0,VOLATILE,False,True,419.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,802.2,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,810.8,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,451.0,VOLATILE,False,True,419.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,833.8,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,843.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,24339.5,VOLATILE,False,True,50.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,948.5,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,958.2,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,1944.5,DETERMINISTIC,False,True,59.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,15943.5,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3956.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,34182.0,INVALIDATED,True,True,170.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,14889.5,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,14895.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,85993.5,INVALIDATED,False,True,410.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,4844.5,VOLATILE,True,True,266.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,31249.5,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,12344.0,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,886.2,VOLATILE,True,True,266.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1698.2,VOLATILE,False,True,173.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1834.5,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1843.5,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,29756.5,INVALIDATED,False,True,50.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,14700.8,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,471.8,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,56274.5,VOLATILE,False,True,92.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,96852.0,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3770.0,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,11999.8,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,24832.2,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,8509.5,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,622.5,VOLATILE,False,True,38.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,622.8,VOLATILE,False,True,30.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,588.0,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,603.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,615.2,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,621.8,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,600.2,VOLATILE,False,True,38.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,602.0,VOLATILE,False,True,30.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,737.2,VOLATILE,False,True,35.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,553.2,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1471.8,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1410.5,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,123739.0,INVALIDATED,False,True,53.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,829.8,VOLATILE,False,True,36.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,705.8,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3151.5,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,4264.0,VOLATILE,False,True,36.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1087.5,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,303.8,VOLATILE,False,True,36.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,297.0,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,53957.0,VOLATILE,False,True,90.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,73846.5,VOLATILE,False,True,46.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,9255.8,DETERMINISTIC,False,True,56.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,11174.5,VOLATILE,True,True,109.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Write,11091.2,MUTATING,True,True,193.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,11193.5,VOLATILE,False,True,90.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,15148.0,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1189.5,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,24108.5,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,827.0,VOLATILE,False,True,35.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1662.0,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,914.2,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1336.5,VOLATILE,False,True,124.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1422.2,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,510.8,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,506.8,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,708.5,VOLATILE,False,True,35.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,57942.0,VOLATILE,False,True,35.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,1892.2,VOLATILE,False,True,36.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,111519.5,VOLATILE,False,True,35.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,29005.5,INVALIDATED,False,True,30774.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Read,59733.5,DETERMINISTIC,False,True,41514.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,571631.2,VOLATILE,False,True,37.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,579970.5,VOLATILE,False,True,29.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,5473.0,VOLATILE,False,True,265.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,5709.8,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,15582.0,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3707.8,VOLATILE,False,True,38.5
955cf06b-d1ef-4f58-8dbf-42c06e996d46.jsonl,Read,8573.0,INVALIDATED,False,True,340.5
