K,skew,B,load,capfam,lam,cap_blocks,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean,p99_seeds,recomp_seeds
8,1.5,4,0.7,7,2.8,896,bounded,4,1.5859042524416789,1.0928927384258276,39680,5380.06195751189,0.9515625,0.9610;1.1708;0.5569;1.3454;0.7898;0.5330;0.6826;2.7171;1.6571;2.0573;2.1997;2.2682;0.6295;1.1143;1.1314;1.3700;1.8283;2.8339;3.3333;0.6318;1.7671;0.7679;0.4944;5.2212,38912;43008;43008;49152;36864;38912;32768;36864;45056;49152;45056;43008;36864;40960;49152;32768;28672;36864;38912;40960;40960;32768;36864;34816
8,1.5,4,0.7,7,2.8,896,bounded,8,1.601753686023163,1.1140117464350814,39680,5314.698109958834,0.9515625,0.9610;1.1708;0.5569;1.3146;0.7898;0.5330;0.6826;2.5182;1.5441;2.0573;2.1666;2.8915;0.6295;1.1143;1.3231;1.3700;2.1112;2.8493;3.0053;0.6318;1.5665;0.7679;0.4944;5.3926,38912;43008;43008;49152;36864;38912;32768;36864;45056;49152;45056;43008;36864;40960;49152;32768;28672;36864;38912;40960;38912;32768;36864;36864
8,1.5,4,0.7,7,2.8,896,bounded,16,1.5363697844482616,0.9929856791901267,39594.666666666664,5243.6621638783035,0.9516666666666667,0.9610;1.1708;0.5569;1.3146;0.7898;0.5330;0.6826;2.5091;1.5441;2.0573;1.8110;2.8915;0.6295;1.1143;1.3231;1.3700;1.7630;2.9643;2.7466;0.6318;1.6052;0.7679;0.4944;4.6413,38912;43008;43008;49152;36864;38912;32768;36864;45056;49152;43008;43008;36864;40960;49152;32768;28672;36864;38912;40960;38912;32768;36864;36864
8,1.5,4,0.7,7,2.8,896,bounded,32,1.5403108634558766,1.0268614204235533,39509.333333333336,5303.725818286194,0.9517708333333333,0.9610;1.1708;0.5569;1.3146;0.7898;0.5330;0.6826;2.5091;1.5441;2.0573;1.8110;2.8915;0.6295;1.1143;1.3231;1.3700;1.7630;2.9643;2.5114;0.6318;1.6052;0.7679;0.4944;4.9711,38912;43008;43008;49152;36864;38912;32768;36864;45056;49152;43008;43008;36864;40960;49152;32768;28672;36864;38912;40960;38912;32768;36864;34816
8,1.5,4,1.0,5,4.0,640,greedy,0,5.527365307308136,1.404230676103027,88917.33333333333,10491.489545764647,0.8914583333333334,5.9083;5.4716;5.1904;6.0359;4.9051;4.5919;3.9419;6.9175;6.3215;7.7965;6.2569;4.5717;3.4405;6.9886;5.6628;3.4908;4.8897;6.6356;6.8512;3.5191;6.9402;4.7019;3.2687;8.3585,71680;100352;98304;90112;92160;90112;96256;67584;79872;88064;81920;108544;75776;73728;92160;104448;100352;77824;90112;90112;83968;86016;98304;96256
8,1.5,4,1.0,5,4.0,640,vtc,0,27.723304305297454,13.87935393217173,121941.33333333333,13337.957598106574,0.8511458333333334,25.3683;35.8063;33.3106;55.5318;22.9270;19.7385;10.9047;26.1726;23.8910;19.5558;16.5935;21.5550;26.1905;27.5283;56.1551;12.9883;12.7815;34.9724;43.9007;8.9508;44.2181;21.1678;11.9286;53.2222,108544;135168;133120;137216;122880;118784;114688;100352;112640;116736;110592;129024;106496;106496;143360;118784;120832;124928;131072;108544;135168;114688;118784;157696
8,1.5,4,1.0,5,4.0,640,bounded,1,9.918965732089545,4.116036447115566,117930.66666666667,12554.154619974308,0.8560416666666667,9.5950;13.2350;15.2165;17.1466;5.7192;7.2048;5.0276;16.7608;10.9407;8.0674;10.0423;7.2660;7.7063;9.1198;16.3305;5.2173;5.7808;9.2457;13.2298;3.8213;13.0842;15.1700;3.9795;9.1480,100352;126976;139264;135168;108544;108544;112640;106496;112640;116736;122880;133120;102400;96256;143360;116736;120832;106496;120832;104448;131072;126976;112640;124928
8,1.5,4,1.0,5,4.0,640,bounded,2,8.633041747517778,2.831353813007177,112896,9011.054544280598,0.8621875,10.7586;10.3184;11.4073;12.5427;6.0484;6.2394;4.7601;13.5336;11.5185;6.9580;7.9467;7.2122;8.7488;8.0907;11.4808;4.6522;5.1794;10.1071;11.7017;3.8975;9.7368;10.9819;4.1874;9.1846,102400;120832;131072;122880;108544;104448;106496;94208;110592;114688;112640;122880;104448;98304;126976;114688;116736;108544;114688;104448;122880;112640;112640;120832
8,1.5,4,1.0,5,4.0,640,bounded,4,7.393901501566966,2.4133013606399967,107008,11329.747511161344,0.869375,8.6827;11.3392;9.2640;12.0185;5.7118;6.2703;5.4249;11.5248;8.4929;6.4521;5.4065;7.2017;4.5878;6.7022;8.8638;3.1323;4.6774;7.7715;8.2185;4.1301;8.9410;9.9269;4.3490;8.3638,88064;120832;124928;118784;108544;100352;104448;83968;102400;112640;100352;120832;88064;94208;120832;106496;102400;98304;108544;102400;118784;112640;108544;120832
8,1.5,4,1.0,5,4.0,640,bounded,8,6.535251831774106,1.8048414861402282,102485.33333333333,9468.155375902015,0.8748958333333333,8.1859;9.2824;6.2528;7.4054;4.7366;5.8547;5.0236;9.7400;6.2392;5.3456;5.1546;4.8946;4.8811;6.0637;9.7790;4.4198;4.8128;7.4928;8.6501;4.4482;6.9383;9.2721;4.2843;7.6882,90112;116736;110592;106496;96256;104448;102400;77824;96256;100352;94208;110592;88064;96256;120832;108544;104448;98304;102400;96256;108544;110592;108544;110592
8,1.5,4,1.0,5,4.0,640,bounded,16,5.329175554602332,1.099121314885166,93440,10081.980757767791,0.8859375,5.3875;8.1895;4.6746;5.1892;5.5790;4.5501;3.4387;6.5319;5.8477;6.0669;5.5726;4.5800;3.7405;5.9756;5.7258;4.1602;5.4408;5.7321;6.0080;4.0480;6.3050;5.2142;3.3474;6.5950,73728;110592;98304;92160;94208;90112;90112;69632;96256;94208;88064;108544;79872;81920;102400;102400;104448;86016;96256;90112;96256;92160;98304;106496
8,1.5,4,1.0,5,4.0,640,bounded,32,5.4906277097776215,1.3557198671367838,90026.66666666667,10400.519645137396,0.8901041666666667,5.9083;5.4716;5.1904;6.0359;4.9051;4.5545;3.9419;7.6535;6.3215;7.3730;6.2686;4.5717;3.4405;6.0420;5.6628;3.4908;4.8897;6.8788;7.1303;3.5191;6.9402;4.7019;3.2687;7.6144,71680;100352;98304;90112;94208;90112;96256;67584;79872;90112;88064;108544;75776;75776;92160;104448;100352;79872;92160;90112;88064;86016;98304;102400
8,1.5,4,1.0,6,4.0,768,greedy,0,4.1557965006567406,1.477132837428624,64170.666666666664,7835.812033364648,0.9216666666666666,4.0979;3.4157;2.5107;5.1371;3.3581;2.5329;2.6790;5.2904;5.0254;5.7816;5.3658;4.1280;1.8158;4.1585;3.7662;2.6599;3.1682;5.1878;6.4575;2.9978;5.6299;3.3438;3.0753;8.1557,51200;67584;71680;71680;69632;53248;63488;53248;63488;63488;49152;75776;53248;59392;71680;65536;67584;57344;69632;67584;65536;59392;73728;75776
8,1.5,4,1.0,6,4.0,768,vtc,0,10.809006742649977,4.682156220802024,78933.33333333333,12443.168442518525,0.9036458333333334,10.2667;9.8003;7.8180;21.8284;10.2233;8.9564;4.5891;17.3092;7.8053;12.1196;13.7614;18.3730;5.3539;5.7767;14.3037;5.1371;8.3069;12.8834;14.8835;7.0255;11.6161;9.1902;4.3830;17.7054,63488;83968;94208;106496;71680;67584;65536;73728;71680;81920;73728;100352;63488;63488;102400;73728;71680;71680;88064;73728;86016;73728;79872;92160
8,1.5,4,1.0,6,4.0,768,bounded,1,4.615170674404625,1.814826948124767,76544,9959.902543030563,0.9065625,5.9712;3.9442;4.2536;7.7204;2.9293;3.7177;2.5405;9.8028;5.1555;3.9934;4.6739;6.1100;3.1992;2.7816;3.4962;2.7152;3.4348;5.3053;4.7698;3.3093;5.1705;7.3600;2.3078;6.1019,69632;79872;98304;92160;69632;67584;67584;75776;75776;75776;69632;90112;61440;59392;88064;69632;71680;65536;88064;73728;79872;81920;77824;88064
8,1.5,4,1.0,6,4.0,768,bounded,2,4.451468051104582,1.5743551164558722,75349.33333333333,9660.019783738655,0.9080208333333333,5.3336;3.8715;4.1748;6.1256;2.6553;3.8918;2.3960;7.5056;4.9030;4.0459;4.1763;6.0298;2.2489;2.9344;3.5428;2.7252;3.4661;5.9994;5.6810;3.4769;5.4750;7.6166;2.3365;6.2233,65536;75776;96256;88064;69632;65536;67584;69632;77824;75776;67584;90112;59392;59392;88064;69632;71680;67584;86016;73728;81920;79872;77824;83968
8,1.5,4,1.0,6,4.0,768,bounded,4,4.22107044013664,1.4682175730806413,72362.66666666667,8959.593641578966,0.9116666666666666,4.6404;5.1204;2.8340;4.1963;2.8334;3.0139;2.5761;7.7447;5.3625;4.2926;4.0490;4.6911;2.1666;3.0759;3.5046;2.4576;3.5297;5.1828;4.7951;3.5727;5.6685;7.0091;2.5660;6.4227,63488;79872;83968;86016;69632;61440;65536;69632;77824;73728;59392;88064;57344;57344;81920;67584;69632;63488;79872;71680;75776;73728;77824;81920
8,1.5,4,1.0,6,4.0,768,bounded,8,4.008345396137296,1.2077178349488529,70314.66666666667,8621.623255255101,0.9141666666666667,4.6962;4.2202;2.5822;4.1451;3.0342;3.6205;2.5679;6.2048;4.7737;4.4655;4.0242;3.4194;2.2073;3.0354;3.7581;2.6545;3.1784;4.9634;5.4319;2.8126;5.0443;5.4018;3.0753;6.8834,61440;73728;75776;83968;71680;59392;63488;65536;73728;75776;57344;79872;57344;55296;81920;65536;69632;63488;81920;67584;71680;69632;77824;83968
