K,skew,B,load,capfam,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean
8,2.0,4,1.4,6,greedy,0,13.257,8.667,26965,4290,0.9671
8,2.0,4,1.4,6,vtc,0,12.183,5.868,40448,7125,0.9506
8,2.0,4,1.4,7,bounded,1,4.622,1.566,23808,3913,0.9709
8,2.0,4,1.4,7,bounded,2,4.677,1.583,23723,3962,0.9710
8,2.0,4,1.4,7,bounded,4,4.952,1.793,24064,4512,0.9706
8,2.0,4,1.4,7,bounded,8,5.257,1.660,23637,4303,0.9711
8,2.0,4,1.4,7,bounded,16,5.936,1.732,23296,3823,0.9716
8,2.0,4,1.4,7,bounded,32,7.030,2.428,22613,3099,0.9724
8,2.0,4,1.4,7,greedy,0,12.746,9.115,20992,2789,0.9744
8,2.0,4,1.4,7,vtc,0,7.070,2.520,23723,3782,0.9710
16,1.5,4,0.7,5,bounded,1,10.287,4.000,217173,16664,0.7349
16,1.5,4,0.7,5,bounded,2,8.583,3.019,209152,14760,0.7447
16,1.5,4,0.7,5,bounded,4,7.135,2.349,201216,11887,0.7544
16,1.5,4,0.7,5,bounded,8,6.275,1.637,195243,11321,0.7617
16,1.5,4,0.7,5,bounded,16,5.763,1.229,190635,12748,0.7673
16,1.5,4,0.7,5,bounded,32,5.845,1.321,190123,11995,0.7679
16,1.5,4,0.7,5,greedy,0,5.845,1.321,190123,11995,0.7679
16,1.5,4,0.7,5,vtc,0,38.613,20.838,221696,15734,0.7294
16,1.5,4,0.7,6,bounded,1,6.129,2.321,177920,16151,0.7828
16,1.5,4,0.7,6,bounded,2,5.683,1.916,174592,15577,0.7869
16,1.5,4,0.7,6,bounded,4,5.288,1.720,172117,14595,0.7899
16,1.5,4,0.7,6,bounded,8,4.587,1.142,166059,12526,0.7973
16,1.5,4,0.7,6,bounded,16,4.607,1.086,163072,13257,0.8009
16,1.5,4,0.7,6,bounded,32,4.642,1.122,162731,13246,0.8014
16,1.5,4,0.7,6,greedy,0,4.642,1.122,162731,13246,0.8014
16,1.5,4,0.7,6,vtc,0,21.115,9.114,185088,17041,0.7741
16,1.5,4,0.7,8,bounded,1,3.289,1.106,124416,14155,0.8481
16,1.5,4,0.7,8,bounded,2,3.275,1.178,123904,13928,0.8488
16,1.5,4,0.7,8,bounded,4,3.198,1.015,121941,13377,0.8511
16,1.5,4,0.7,8,bounded,8,3.239,0.897,121429,13200,0.8518
16,1.5,4,0.7,8,bounded,16,3.356,1.035,119723,12844,0.8539
16,1.5,4,0.7,8,bounded,32,3.307,1.034,119893,12858,0.8536
16,1.5,4,0.7,8,greedy,0,3.307,1.034,119893,12858,0.8536
16,1.5,4,0.7,8,vtc,0,9.317,3.814,128256,15024,0.8434
16,1.5,4,1.0,5,bounded,1,39.759,8.415,212053,15484,0.7411
16,1.5,4,1.0,5,bounded,2,34.243,6.889,196779,12979,0.7598
16,1.5,4,1.0,5,bounded,4,25.620,5.905,172629,11100,0.7893
16,1.5,4,1.0,5,bounded,8,21.012,4.709,158293,8618,0.8068
16,1.5,4,1.0,5,bounded,16,15.264,3.099,139520,8655,0.8297
16,1.5,4,1.0,5,bounded,32,12.961,2.351,126891,9687,0.8451
16,1.5,4,1.0,5,greedy,0,13.789,2.920,121856,12708,0.8512
16,1.5,4,1.0,5,vtc,0,95.071,10.875,218283,19873,0.7335
16,1.5,4,1.0,6,bounded,1,25.882,6.846,172800,10994,0.7891
16,1.5,4,1.0,6,bounded,2,22.480,5.300,163157,11670,0.8008
16,1.5,4,1.0,6,bounded,4,20.082,5.184,155563,9468,0.8101
16,1.5,4,1.0,6,bounded,8,16.770,4.697,145237,9458,0.8227
