seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
4,1.0,16,1,28.037382,24.036801,4.151415,1.235114,66,31
4,1.0,32,1,25.842085,22.251597,4.151415,1.467918,82,31
4,1.0,64,1,22.396945,19.410451,4.151415,1.926734,114,31
4,1.0,128,1,17.802676,15.552549,4.151415,2.818098,178,31
4,1.0,256,1,12.840403,11.306113,4.151415,4.502520,306,31
4,1.0,512,1,8.564478,7.588121,4.151415,7.525269,562,31
4,1.0,1024,1,5.542752,5.392065,4.151415,12.478261,1074,31
5,0.0,0,1,31.438261,25.267416,0.000000,1.000000,50,1
5,0.0,8,1,30.085211,25.267985,7.195937,1.119930,58,1
5,0.0,16,1,28.844013,25.268553,7.195937,1.239842,66,1
5,0.0,32,1,26.645926,25.269690,7.195937,1.479607,82,1
5,0.0,64,10,23.123342,25.271962,7.195937,1.958906,114,1
5,0.0,128,14,18.291671,25.276504,7.195937,2.916587,178,1
5,0.0,256,15,12.907784,25.285575,7.195937,4.828280,306,1
5,0.0,512,26,8.136413,25.303668,7.195937,8.637058,562,1
5,0.0,1024,31,4.693143,25.339655,7.195937,16.196706,1074,1
5,0.25,0,1,31.438261,25.267416,0.000000,1.000000,50,9
5,0.25,8,1,30.091219,25.272530,5.350111,1.119374,58,9
5,0.25,16,1,28.856574,25.277639,5.350111,1.238576,66,9
5,0.25,32,1,26.672535,25.287840,5.350111,1.476468,82,9
5,0.25,64,8,23.178959,25.308181,5.350111,1.950207,114,9
5,0.25,128,12,18.400045,25.348610,5.350111,2.889592,178,9
5,0.25,256,13,13.092535,25.428482,5.350111,4.736628,306,9
5,0.25,512,20,8.404275,25.584384,5.350111,8.308657,562,9
5,0.25,1024,23,5.029945,25.881660,5.350111,15.000586,1074,9
5,1.0,0,1,31.438261,25.267416,0.000000,1.000000,50,31
5,1.0,8,1,30.107713,24.198035,4.151415,1.117848,58,31
5,1.0,16,1,28.891007,23.220149,4.151415,1.235114,66,31
5,1.0,32,1,26.745283,21.495598,4.151415,1.467918,82,31
5,1.0,64,1,23.330371,18.750980,4.151415,1.926734,114,31
5,1.0,128,1,18.693370,15.024150,4.151415,2.818098,178,31
5,1.0,256,1,13.589370,10.921987,4.151415,4.502520,306,31
5,1.0,512,1,9.120534,7.330314,4.151415,7.525269,562,31
5,1.0,1024,1,5.926885,5.137387,4.151415,12.478261,1074,31
6,0.0,0,1,30.535520,25.851888,0.000000,1.000000,50,1
6,0.0,8,1,29.135323,25.852470,7.195937,1.119930,58,1
6,0.0,16,1,27.860412,25.853051,7.195937,1.239842,66,1
6,0.0,32,4,25.623563,25.854214,7.195937,1.479607,82,1
