c,q,k,L_lo,L_hi,L_mid,removal_emp,removal_pred_unionbound,n
high,0.05,25,16,20,18.0,0.0,0.0,4759
high,0.05,25,20,26,23.0,0.0074826296098343134,0.0,5613
high,0.05,25,26,34,30.0,0.22677198087715653,0.2649081093750002,4811
high,0.05,25,34,45,39.5,0.5199637023593466,0.5484395657879331,3306
high,0.05,25,45,60,52.5,0.7351672060409924,0.7681950259749798,1854
high,0.05,25,60,80,70.0,0.9046961325966851,0.9055317558622624,724
high,0.05,25,80,110,95.0,0.9591078066914498,0.9737954940850638,269
high,0.05,25,110,150,130.0,1.0,0.9956478669819241,58
high,0.05,25,150,200,175.0,0.9166666666666666,0.9995672227742405,12
high,0.05,25,200,400,300.0,1.0,0.99999928925296,3
