alpha,c,q,k,delta_mean,delta_ci,acc_full,acc_surv,removal_rate,removal_ci,mean_L_full,mean_L_surv,ci_covers_0
0.3,med,0.01,8,0.00847542892306525,0.0008936014474777549,0.500917732992801,0.5093931619158661,0.15084375,0.003830311875356882,24.619125,22.716127925538142,False
0.3,med,0.01,13,0.009111949963036693,0.0005281185702837471,0.49930104259418595,0.5084129925572226,0.11243750000000001,0.0020367022978334546,24.898656250000002,22.793604158715347,False
0.3,med,0.01,25,0.0058663653043540195,0.0006528927507706158,0.49985542669367417,0.5057217919980281,0.049625,0.0019621862806573635,24.68215625,23.14865335530045,False
0.3,high,0.05,8,0.03091158005396257,0.0017734537191348466,0.49912351910802844,0.530035099161991,0.5055000000000001,0.004676136225560576,24.663875,18.383566844587754,False
0.3,high,0.05,13,0.03057143735357077,0.0014680850442092231,0.5002703293341578,0.5308417666877286,0.36278125,0.0029216222484263863,24.683656250000002,18.37378953900532,False
0.3,high,0.05,25,0.018649688390775236,0.0007855792868377788,0.4995975028220601,0.5182471912128354,0.16099999999999998,0.0025461146871262413,24.5033125,20.072083856839278,False
0.6,low,0.002,8,0.003375727236217624,0.00041227639563326925,0.5019143539014886,0.5052900811377062,0.033156249999999984,0.0012212755882682648,24.41909375,24.02072186888705,False
0.6,low,0.002,13,0.004039708943265455,0.0005684136294362399,0.501925868540055,0.5059655774833205,0.025968750000000013,0.0020694628681133605,24.44021875,23.955453446704595,False
0.6,low,0.002,25,0.002637596289641858,0.0003861037768278495,0.5021808373504376,0.5048184336400795,0.011343750000000014,0.0015876126928504985,24.56525,24.201884998653085,False
0.6,med,0.01,8,0.01606836563022518,0.0009041017508309005,0.5021190545887416,0.5181874202189668,0.15237499999999998,0.003043189116699785,24.65234375,22.789331942724026,False
0.6,med,0.01,13,0.01709904970286314,0.0009634111968112816,0.5021319955171755,0.5192310452200386,0.10946875000000002,0.003918290642933482,24.567875,22.64766373736874,False
0.6,med,0.01,25,0.010842480608919854,0.0005201153282308729,0.5018321685634854,0.5126746491724054,0.048343750000000005,0.0018611190350162946,24.6078125,23.155839602518036,False
0.6,high,0.05,8,0.06241388220037909,0.0016306562946301407,0.5020061625836512,0.5644200447840302,0.50940625,0.006484694600557523,24.59578125,18.264740997110593,False
0.6,high,0.05,13,0.06364977806583416,0.0007317059726978481,0.5016746534273786,0.5653244314932128,0.36503125000000003,0.003527899738158682,24.72534375,18.244581648679514,False
0.6,high,0.05,25,0.03811065004878714,0.0009167569514475102,0.5015370512486252,0.5396477012974124,0.16440624999999998,0.00355393290067496,24.552875,20.05270973792194,False
0.9,low,0.002,8,0.004919123227641764,0.000342431504603071,0.5063798495795507,0.5112989728071925,0.035062499999999996,0.0017563758851680705,24.5820625,24.154797832114518,False
0.9,low,0.002,13,0.005383920619707189,0.00030748290966916647,0.5062375360426217,0.5116214566623289,0.025093750000000012,0.0019223134662432109,24.73359375,24.268739656978994,False
0.9,low,0.002,25,0.003475409477853547,0.0004220232022607535,0.5063411845775929,0.5098165940554464,0.011062499999999989,0.0013282719036402178,24.78409375,24.42726946782699,False
0.9,med,0.01,8,0.024543290310628837,0.0014302522636334516,0.5060769973004918,0.5306202876111207,0.15253125,0.004677454068454334,24.6544375,22.664667084920104,False
0.9,med,0.01,13,0.024605576996982653,0.0013741180282326095,0.5061736865429606,0.5307792635399432,0.11056250000000001,0.005595869570495725,24.81796875,22.787581669707713,False
0.9,med,0.01,25,0.015801947524672524,0.001034423638643436,0.5064945208098071,0.5222964683344795,0.05028125,0.003373837068161407,24.7376875,23.213509668681912,False
0.9,high,0.05,8,0.09054628417145828,0.0017699220779901566,0.5062740309886253,0.5968203151600836,0.5068125,0.004315409163683083,24.61125,18.36073175682321,False
0.9,high,0.05,13,0.09121612234484737,0.0011136103303688442,0.5064052012964916,0.5976213236413389,0.36184375,0.005225156845732003,24.4913125,18.23853988999127,False
0.9,high,0.05,25,0.05364213695662902,0.0009563166815906537,0.5060146572896187,0.5596567942462477,0.16165624999999997,0.003594716826469086,24.51134375,20.152036908424286,False
