regime,sigma,seed,b,q_router,q_conf,q_rand,q_oracle,q_allquant,q_allfull,auc
request_dependent,0.6,3,0.5,0.9332639423585589,0.9126904434417435,0.8643742497815512,0.975939916194036,0.7352438142443464,0.9979956119283011,0.8018619047619048
request_dependent,0.6,4,0.05,0.7587914690775506,0.7583624021653844,0.7445017420180096,0.7779843676771205,0.7304272633680376,1.001818445087343,0.8104785714285714
request_dependent,0.6,4,0.1,0.7880493419772711,0.7811502448577491,0.7554146113689552,0.8190065986706693,0.7304272633680376,1.001818445087343,0.8104785714285714
request_dependent,0.6,4,0.2,0.8355610432814926,0.8207178360444156,0.7824358335765178,0.8830397484186204,0.7304272633680376,1.001818445087343,0.8104785714285714
request_dependent,0.6,4,0.3,0.8752827730768499,0.8512729275017082,0.8153252274148914,0.9274702038428217,0.7304272633680376,1.001818445087343,0.8104785714285714
request_dependent,0.6,4,0.5,0.9339321212554468,0.9087357239875451,0.8648771168641942,0.9771715517770407,0.7304272633680376,1.001818445087343,0.8104785714285714
request_dependent,0.6,5,0.05,0.773687462382725,0.7689978837858188,0.7579331966783104,0.7919855184367468,0.7443901488616465,1.0012795107433425,0.7928833333333334
request_dependent,0.6,5,0.1,0.7984866872803207,0.7908485169034035,0.7740246498929919,0.8323484769844117,0.7443901488616465,1.0012795107433425,0.7928833333333334
request_dependent,0.6,5,0.2,0.8402833399186556,0.8282371914780684,0.7958227091794947,0.8930313187102522,0.7443901488616465,1.0012795107433425,0.7928833333333334
request_dependent,0.6,5,0.3,0.8757156359846532,0.8671009926312565,0.820190941179649,0.9342524339757164,0.7443901488616465,1.0012795107433425,0.7928833333333334
request_dependent,0.6,5,0.5,0.9372119861596571,0.9216519242714534,0.870415988148798,0.9781814334520044,0.7443901488616465,1.0012795107433425,0.7928833333333334
request_dependent,1.0,1,0.05,0.7564612468851956,0.7485661762430992,0.7424075563273852,0.7757117534330144,0.7275578183522429,0.9963887505684015,0.7943690476190476
request_dependent,1.0,1,0.1,0.7830474672157348,0.7664524186698363,0.755604750531631,0.817074893720016,0.7275578183522429,0.9963887505684015,0.7943690476190476
request_dependent,1.0,1,0.2,0.8277883839006412,0.795675491190169,0.7841686221791169,0.8822245791008726,0.7275578183522429,0.9963887505684015,0.7943690476190476
request_dependent,1.0,1,0.3,0.8663068048121546,0.8306868180624671,0.807411763289091,0.9269231820763965,0.7275578183522429,0.9963887505684015,0.7943690476190476
request_dependent,1.0,1,0.5,0.9256937167807395,0.88854429047155,0.8605237152268559,0.9737794610654256,0.7275578183522429,0.9963887505684015,0.7943690476190476
request_dependent,1.0,2,0.05,0.7535729943465086,0.7467014277938302,0.7395099126666521,0.772919840792281,0.7256472819031295,0.9973854551681046,0.7696940476190476
request_dependent,1.0,2,0.1,0.7809650028397991,0.764814301977063,0.7512074732197594,0.8135412503953608,0.7256472819031295,0.9973854551681046,0.7696940476190476
request_dependent,1.0,2,0.2,0.826127307191575,0.799646203405665,0.7798355662782481,0.8778444113327024,0.7256472819031295,0.9973854551681046,0.7696940476190476
request_dependent,1.0,2,0.3,0.8644010213596275,0.8317507164029282,0.8039995227555338,0.9233213041870149,0.7256472819031295,0.9973854551681046,0.7696940476190476
request_dependent,1.0,2,0.5,0.922622461366364,0.8874752283168309,0.8599319142302636,0.9731090532905694,0.7256472819031295,0.9973854551681046,0.7696940476190476
request_dependent,1.0,3,0.05,0.7632761209358184,0.757389971998171,0.7478021892827874,0.7825402944323098,0.7352438142443464,0.9979956119283011,0.7553202380952381
request_dependent,1.0,3,0.1,0.7858710956342375,0.7761292333111421,0.758611219670249,0.8228264780317903,0.7352438142443464,0.9979956119283011,0.7553202380952381
request_dependent,1.0,3,0.2,0.829932596045894,0.8090263777525414,0.786062033068589,0.8867458538794243,0.7352438142443464,0.9979956119283011,0.7553202380952381
request_dependent,1.0,3,0.3,0.8650524802629678,0.8431008375726163,0.8157090693827754,0.9296341814382891,0.7352438142443464,0.9979956119283011,0.7553202380952381
request_dependent,1.0,3,0.5,0.9227804462915816,0.8968953321278578,0.8643742497815512,0.975939916194036,0.7352438142443464,0.9979956119283011,0.7553202380952381
request_dependent,1.0,4,0.05,0.7567737951893118,0.7528607403179982,0.7445017420180096,0.7779843676771205,0.7304272633680376,1.001818445087343,0.7726464285714286
request_dependent,1.0,4,0.1,0.7830728798176658,0.7728836165513308,0.7554146113689552,0.8190065986706693,0.7304272633680376,1.001818445087343,0.7726464285714286
request_dependent,1.0,4,0.2,0.827118367157015,0.8061522815438691,0.7824358335765178,0.8830397484186204,0.7304272633680376,1.001818445087343,0.7726464285714286
