seed,frac,t_qterms,L,rank,answer_score,top_distractor_score
8,0.5,1,64,1,31.876694,27.708729
8,0.5,1,128,1,31.937980,27.759435
8,0.5,1,256,1,32.058458,27.858979
8,0.5,1,512,1,32.291369,28.050912
8,1.0,1,0,1,32.297854,27.905708
8,1.0,1,4,2,31.369090,34.171683
8,1.0,1,8,2,31.376747,34.522927
8,1.0,1,16,2,31.392029,34.277467
8,1.0,1,32,2,31.422459,33.308943
8,1.0,1,64,2,31.482793,31.554573
8,1.0,1,128,1,31.601394,29.186078
8,1.0,1,256,1,31.830661,26.702105
8,1.0,1,512,1,32.259845,24.647928
8,0.5,2,0,1,32.297854,27.905708
8,0.5,2,4,2,31.349467,34.232792
8,0.5,2,8,2,31.353298,35.418782
8,0.5,2,16,2,31.360951,36.084593
8,0.5,2,32,2,31.376224,35.975448
8,0.5,2,64,2,31.406638,35.031949
8,0.5,2,128,2,31.466938,33.444725
8,0.5,2,256,2,31.585474,31.660525
8,0.5,2,512,1,31.814615,30.149687
8,1.0,2,0,1,32.297854,27.905708
8,1.0,2,4,4,30.744581,33.446067
8,1.0,2,8,4,30.752072,34.549262
8,1.0,2,16,4,30.767022,35.151309
8,1.0,2,32,4,30.796791,35.006585
8,1.0,2,64,4,30.855813,34.057691
8,1.0,2,128,4,30.971830,32.493689
8,1.0,2,256,1,31.196079,30.754345
8,1.0,2,512,1,31.615790,29.297594
9,0.5,1,0,1,32.435626,27.103408
9,0.5,1,4,1,31.983496,27.695241
9,0.5,1,8,1,31.987314,27.887290
9,0.5,1,16,1,31.994941,27.828519
9,0.5,1,32,1,32.010161,27.202767
9,0.5,1,64,1,32.040463,26.696927
9,0.5,1,128,1,32.100522,26.745781
9,0.5,1,256,1,32.218506,26.841691
9,0.5,1,512,1,32.446292,27.026615
9,1.0,1,0,1,32.435626,27.103408
9,1.0,1,4,1,31.638800,27.449789
9,1.0,1,8,1,31.646346,27.616095
9,1.0,1,16,1,31.661403,27.439776
9,1.0,1,32,1,31.691382,26.761028
9,1.0,1,64,1,31.750803,25.504153
9,1.0,1,128,1,31.867533,23.789431
9,1.0,1,256,1,32.092900,21.983914
9,1.0,1,512,1,32.513775,20.489552
9,0.5,2,0,1,32.435626,27.103408
9,0.5,2,4,3,31.881291,33.604266
9,0.5,2,8,3,31.885094,34.778107
9,0.5,2,16,3,31.892690,35.444315
9,0.5,2,32,3,31.907847,35.351833
9,0.5,2,64,3,31.938025,34.442361
9,0.5,2,128,3,31.997838,32.902640
9,0.5,2,256,1,32.115337,31.168966
9,0.5,2,512,1,32.342172,29.700247
9,1.0,2,0,1,32.435626,27.103408
9,1.0,2,4,4,31.234314,32.848286
9,1.0,2,8,4,31.241753,33.956012
9,1.0,2,16,4,31.256596,34.569345
9,1.0,2,32,4,31.286147,34.447061
9,1.0,2,64,4,31.344717,33.534678
9,1.0,2,128,3,31.459774,32.018748
9,1.0,2,256,1,31.681890,30.329473
9,1.0,2,512,1,32.096630,28.914055
10,0.5,1,0,1,34.429821,27.885224
10,0.5,1,4,2,34.060220,34.597543
10,0.5,1,8,2,34.064192,34.963817
10,0.5,1,16,2,34.072126,34.719067
10,0.5,1,32,1,34.087956,33.733398
10,0.5,1,64,1,34.119469,31.938992
10,0.5,1,128,1,34.181906,29.505114
10,0.5,1,256,1,34.304481,26.939328
10,0.5,1,512,1,34.540821,26.069324
10,1.0,1,0,1,34.429821,27.885224
10,1.0,1,4,2,33.765828,34.256752
10,1.0,1,8,2,33.773693,34.589861
10,1.0,1,16,2,33.789384,34.328896
10,1.0,1,32,1,33.820621,33.344640
10,1.0,1,64,1,33.882511,31.571619
10,1.0,1,128,1,34.004013,29.181375
10,1.0,1,256,1,34.238282,26.675693
10,1.0,1,512,1,34.674680,24.603775
10,0.5,2,0,1,34.429821,27.885224
10,0.5,2,4,1,33.416344,32.792655
10,0.5,2,8,3,33.420241,34.030044
10,0.5,2,16,3,33.428025,34.748755
10,0.5,2,32,3,33.443556,34.713136
10,0.5,2,64,3,33.474473,33.895403
10,0.5,2,128,1,33.535730,32.507923
10,0.5,2,256,1,33.655988,30.973266
10,0.5,2,512,1,33.887859,29.697877
10,1.0,2,0,1,34.429821,27.885224
10,1.0,2,4,4,32.459570,33.013248
10,1.0,2,8,6,32.467130,34.101836
10,1.0,2,16,6,32.482215,34.697809
10,1.0,2,32,6,32.512243,34.558207
10,1.0,2,64,5,32.571739,33.625942
10,1.0,2,128,1,32.688540,32.087227
10,1.0,2,256,1,32.913747,30.375362
10,1.0,2,512,1,33.333262,28.941517
11,0.5,1,0,1,32.487477,27.905708
11,0.5,1,4,2,31.787101,33.583517
11,0.5,1,8,2,31.790997,33.991317
11,0.5,1,16,2,31.798779,33.789305
11,0.5,1,32,2,31.814310,32.866495
11,0.5,1,64,1,31.845238,31.185390
11,0.5,1,128,1,31.906560,28.938065
11,0.5,1,256,1,32.027114,27.399705
11,0.5,1,512,1,32.260191,27.588474
11,1.0,1,0,1,32.487477,27.905708
11,1.0,1,4,3,31.314961,33.037383
11,1.0,1,8,3,31.322633,33.389947
11,1.0,1,16,3,31.337943,33.157349
11,1.0,1,32,2,31.368430,32.227027
11,1.0,1,64,1,31.428879,30.560710
11,1.0,1,128,1,31.547721,28.349908
11,1.0,1,256,1,31.777495,26.073802
11,1.0,1,512,1,32.207782,24.220646
11,0.5,2,0,1,32.487477,27.905708
11,0.5,2,4,2,31.342196,31.921708
11,0.5,2,8,2,31.346032,33.641948
11,0.5,2,16,2,31.353696,34.622979
11,0.5,2,32,2,31.368991,34.683840
11,0.5,2,64,2,31.399447,33.877284
11,0.5,2,128,2,31.459835,32.467201
11,0.5,2,256,1,31.578547,30.902927
11,0.5,2,512,1,31.808048,29.603100
11,1.0,2,0,1,32.487477,27.905708
11,1.0,2,4,4,30.643650,32.240360
11,1.0,2,8,4,30.651143,33.332817
11,1.0,2,16,4,30.666097,33.934951
11,1.0,2,32,4,30.695874,33.816731
11,1.0,2,64,4,30.754913,32.945338
11,1.0,2,128,4,30.870976,31.529228
11,1.0,2,256,1,31.095355,29.989044
11,1.0,2,512,1,31.515460,28.726398
12,0.5,1,0,1,35.436865,28.392106
12,0.5,1,4,3,34.881307,35.459801
12,0.5,1,8,3,34.885374,35.857707
12,0.5,1,16,3,34.893499,35.624517
12,0.5,1,32,1,34.909711,34.630127
12,0.5,1,64,1,34.941983,32.808068
12,0.5,1,128,1,35.005926,30.332560
12,0.5,1,256,1,35.131456,27.853631
12,0.5,1,512,1,35.373493,28.045528
12,1.0,1,0,1,35.436865,28.392106
12,1.0,1,4,3,34.524725,35.047134
12,1.0,1,8,3,34.532766,35.404249
12,1.0,1,16,3,34.548811,35.150050
12,1.0,1,32,1,34.580749,34.154521
12,1.0,1,64,1,34.644031,32.352855
12,1.0,1,128,1,34.768263,29.921072
12,1.0,1,256,1,35.007798,27.370907
12,1.0,1,512,1,35.454004,25.262027
12,0.5,2,0,1,35.436865,28.392106
12,0.5,2,4,3,34.444584,35.010537
12,0.5,2,8,4,34.448600,36.194601
12,0.5,2,16,4,34.456624,36.844646
12,0.5,2,32,4,34.472633,36.701236
12,0.5,2,64,4,34.504501,35.702233
12,0.5,2,128,1,34.567642,34.042430
12,0.5,2,256,1,34.691601,32.182681
12,0.5,2,512,1,34.930607,30.609263
12,1.0,2,0,1,35.436865,28.392106
