seed,b,L,rank,answer_score,top_distractor_score,dist_lennorm_mean
4,0.75,8,3,29.140061,32.650110,1.117917
4,0.75,16,3,29.160850,33.225164,1.235271
4,0.75,32,3,29.202220,32.767214,1.468304
4,0.75,64,3,29.284144,31.167967,1.927786
4,0.75,128,1,29.444801,28.586903,2.821263
4,0.75,256,1,29.753917,25.593550,4.512630
4,0.75,512,1,30.327490,22.937995,7.557559
4,1.0,0,1,30.677714,26.156071,1.000000
4,1.0,4,3,29.133122,31.098397,1.078706
4,1.0,8,3,29.147020,32.285790,1.157223
4,1.0,16,3,29.174759,32.617820,1.313694
4,1.0,32,3,29.230000,31.822691,1.624406
4,1.0,64,2,29.339550,29.852088,2.237049
4,1.0,128,1,29.554995,27.032144,3.428351
4,1.0,256,1,29.971828,24.080319,5.683507
4,1.0,512,1,30.753414,21.693246,9.743412
5,0.0,0,1,31.438261,25.267416,1.000000
5,0.0,4,4,29.955506,31.234849,1.000000
5,0.0,8,6,29.955506,33.073975,1.000000
5,0.0,16,6,29.955506,34.485804,1.000000
5,0.0,32,6,29.955506,35.416209,1.000000
5,0.0,64,6,29.955506,35.964385,1.000000
5,0.0,128,8,29.955506,36.264649,1.000000
5,0.0,256,15,29.955506,36.422226,1.000000
5,0.0,512,15,29.955506,36.503008,1.000000
5,0.25,0,1,31.438261,25.267416,1.000000
5,0.25,4,3,29.958872,31.025201,1.019676
5,0.25,8,6,29.962231,32.690336,1.039306
5,0.25,16,6,29.968927,33.802129,1.078424
5,0.25,32,6,29.982233,34.202059,1.156101
5,0.25,64,6,30.008504,33.816397,1.309262
5,0.25,128,6,30.059719,32.569716,1.607088
5,0.25,256,4,30.157151,30.466766,2.170877
5,0.25,512,1,30.334157,27.809666,3.185853
5,0.5,0,1,31.438261,25.267416,1.000000
5,0.5,4,3,29.962239,30.818432,1.039353
5,0.5,8,6,29.968960,32.316268,1.078611
5,0.5,16,6,29.982361,33.151105,1.156847
5,0.5,32,6,30.009008,33.100905,1.312203
5,0.5,64,6,30.061689,32.042221,1.618524
5,0.5,128,1,30.164660,29.975741,2.214176
5,0.5,256,1,30.361529,27.212371,3.341753
5,0.5,512,1,30.722503,24.409578,5.371706
5,0.75,0,1,31.438261,25.267416,1.000000
5,0.75,4,3,29.965607,30.614479,1.059029
5,0.75,8,6,29.975691,31.951397,1.117917
5,0.75,16,6,29.995807,32.530224,1.235271
5,0.75,32,6,30.035832,32.096275,1.468304
5,0.75,64,4,30.115064,30.546255,1.927786
5,0.75,128,1,30.270336,28.037463,2.821263
5,0.75,256,1,30.568697,25.125739,4.512630
5,0.75,512,1,31.120922,22.542137,7.557559
5,1.0,0,1,31.438261,25.267416,1.000000
5,1.0,4,2,29.968976,30.413287,1.078706
5,1.0,8,4,29.982425,31.595370,1.157223
5,1.0,16,6,30.009265,31.937240,1.313694
5,1.0,32,4,30.062703,31.174808,1.624406
5,1.0,64,1,30.168628,29.263155,2.237049
5,1.0,128,1,30.376755,26.521781,3.428351
5,1.0,256,1,30.778711,23.650510,5.683507
5,1.0,512,1,31.529810,21.328371,9.743412
6,0.0,0,1,30.535520,25.851888,1.000000
6,0.0,4,2,29.549586,32.360662,1.000000
6,0.0,8,2,29.549586,34.221698,1.000000
6,0.0,16,2,29.549586,35.649708,1.000000
6,0.0,32,10,29.549586,36.590441,1.000000
6,0.0,64,10,29.549586,37.144571,1.000000
6,0.0,128,10,29.549586,37.448055,1.000000
6,0.0,256,10,29.549586,37.607310,1.000000
6,0.0,512,10,29.549586,37.688949,1.000000
6,0.25,0,1,30.535520,25.851888,1.000000
6,0.25,4,2,29.553114,32.142904,1.019676
6,0.25,8,2,29.556635,33.822336,1.039306
6,0.25,16,2,29.563653,34.935907,1.078424
6,0.25,32,2,29.577600,35.319180,1.156101
6,0.25,64,2,29.605139,34.890710,1.309262
6,0.25,128,2,29.658841,33.565679,1.607088
6,0.25,256,2,29.761045,31.344766,2.170877
6,0.25,512,1,29.946867,28.543290,3.185853
