g,pandas,duckdb,polars
753,warn,warn,warn
754,warn,warn,warn
755,warn,warn,warn
756,warn,warn,warn
757,warn,warn,warn
758,warn,warn,warn
759,warn,warn,warn
760,warn,warn,warn
761,warn,warn,warn
762,warn,warn,warn
763,warn,warn,warn
764,warn,warn,warn
765,warn,warn,warn
766,warn,warn,warn
767,warn,warn,warn
768,warn,warn,warn
769,warn,warn,warn
770,warn,warn,warn
771,warn,warn,warn
772,warn,warn,warn
773,warn,warn,warn
774,warn,warn,warn
775,warn,warn,warn
776,warn,warn,warn
777,warn,warn,warn
778,warn,warn,warn
779,warn,warn,warn
780,warn,warn,warn
781,warn,warn,warn
782,warn,warn,warn
783,warn,warn,warn
784,warn,warn,warn
785,warn,warn,warn
786,warn,warn,warn
787,warn,warn,warn
788,warn,warn,warn
789,warn,warn,warn
790,warn,warn,warn
791,warn,warn,warn
792,warn,warn,warn
793,warn,warn,warn
794,warn,warn,warn
795,warn,warn,warn
796,warn,warn,warn
797,warn,warn,warn
798,warn,warn,warn
799,warn,warn,warn
800,warn,warn,warn
801,warn,warn,warn
802,warn,warn,warn
803,warn,warn,warn
804,warn,warn,warn
805,warn,warn,warn
806,warn,warn,warn
807,warn,warn,warn
808,warn,warn,warn
809,warn,warn,warn
810,warn,warn,warn
811,warn,warn,warn
812,warn,warn,warn
813,warn,warn,warn
814,warn,warn,warn
815,warn,warn,warn
816,warn,warn,warn
817,warn,warn,warn
818,warn,warn,warn
819,warn,warn,warn
820,warn,warn,warn
821,warn,warn,warn
822,warn,warn,warn
823,warn,warn,warn
824,warn,warn,warn
825,warn,warn,warn
826,warn,warn,warn
827,warn,warn,warn
828,warn,warn,warn
829,warn,warn,warn
830,warn,warn,warn
831,warn,warn,warn
832,warn,warn,warn
833,warn,warn,warn
834,warn,warn,warn
835,warn,warn,warn
836,warn,warn,warn
837,warn,warn,warn
838,warn,warn,warn
839,warn,warn,warn
840,warn,warn,warn
841,warn,warn,warn
842,warn,warn,warn
843,warn,warn,warn
844,warn,warn,warn
845,warn,warn,warn
846,warn,warn,warn
847,warn,warn,warn
848,warn,warn,warn
849,warn,warn,warn
850,warn,warn,warn
851,warn,warn,warn
852,warn,warn,warn
853,warn,warn,warn
854,warn,warn,warn
855,warn,warn,warn
856,warn,warn,warn
857,warn,warn,warn
858,warn,warn,warn
859,warn,warn,warn
860,warn,warn,warn
861,warn,warn,warn
862,warn,warn,warn
863,warn,warn,warn
864,warn,warn,warn
865,warn,warn,warn
866,warn,warn,warn
867,warn,warn,warn
