item,in_degree,density_kth,denom,num_miss,miss_rate
880,13,0.790888,3,0,0.000000
887,17,11.707911,5,0,0.000000
893,8,7.295918,3,0,0.000000
896,18,0.804130,5,0,0.000000
897,17,1.386592,2,0,0.000000
901,11,7.365285,3,0,0.000000
902,10,10.199005,2,0,0.000000
906,15,2.085816,2,0,0.000000
910,5,10.737775,2,0,0.000000
911,14,12.731263,3,0,0.000000
915,7,3.581931,3,2,0.666667
917,10,6.616018,3,0,0.000000
920,16,0.743791,3,0,0.000000
921,26,1.207326,6,0,0.000000
930,11,2.156728,3,0,0.000000
936,8,0.701429,2,0,0.000000
937,18,1.253575,2,0,0.000000
939,19,3.370644,6,3,0.500000
944,18,0.919984,4,0,0.000000
946,16,2.115310,3,1,0.333333
948,11,4.695801,5,0,0.000000
957,9,7.593031,3,0,0.000000
958,14,8.466271,3,0,0.000000
960,10,0.817107,2,0,0.000000
971,9,3.203807,2,0,0.000000
976,11,0.784572,4,0,0.000000
978,20,1.971875,2,0,0.000000
983,14,12.818245,2,0,0.000000
984,13,0.853047,2,1,0.500000
985,8,1.491302,2,0,0.000000
989,10,7.086861,4,0,0.000000
990,21,7.710430,5,0,0.000000
995,12,3.294786,2,1,0.500000
996,18,4.378672,6,0,0.000000
1003,8,3.145629,2,1,0.500000
1004,7,4.842758,2,2,1.000000
1006,11,8.619330,2,0,0.000000
1007,13,12.960270,2,0,0.000000
1011,8,3.252638,2,1,0.500000
1016,9,0.728027,3,1,0.333333
1019,12,3.464902,4,2,0.500000
1024,10,0.928612,2,1,0.500000
1028,12,4.481864,5,0,0.000000
1029,14,7.846095,2,1,0.500000
1032,7,0.980924,2,0,0.000000
1033,7,1.625886,2,0,0.000000
1037,13,6.932231,3,1,0.333333
1041,6,1.485913,2,0,0.000000
1048,10,0.928742,2,0,0.000000
1053,8,6.316812,6,0,0.000000
1056,9,0.792967,3,0,0.000000
1061,9,7.442405,4,0,0.000000
1063,8,14.008773,3,2,0.666667
1066,9,2.190035,3,1,0.333333
1067,6,3.485701,3,1,0.333333
1070,17,8.364472,3,0,0.000000
1077,12,6.977470,2,0,0.000000
1078,5,11.274822,2,0,0.000000
1080,8,0.838035,2,0,0.000000
1081,11,1.290009,4,1,0.250000
1084,6,5.674297,3,0,0.000000
1085,12,7.458856,2,0,0.000000
1086,12,9.686021,3,0,0.000000
1093,22,7.112914,3,1,0.333333
1095,8,13.950796,2,0,0.000000
1096,8,0.998105,2,0,0.000000
1097,11,1.246612,3,1,0.333333
1106,8,2.473736,2,0,0.000000
1107,13,3.198249,5,3,0.600000
1109,7,6.755194,3,1,0.333333
1110,14,7.559892,3,0,0.000000
1115,5,3.582336,2,0,0.000000
1118,19,9.282453,3,0,0.000000
1121,11,1.284922,5,0,0.000000
1122,21,1.967306,4,0,0.000000
1128,12,0.844215,3,0,0.000000
1132,13,5.141205,4,0,0.000000
1133,13,7.254287,2,0,0.000000
1134,9,8.941856,3,0,0.000000
1135,4,13.619548,3,0,0.000000
1136,7,0.928666,2,0,0.000000
1138,11,2.069244,4,0,0.000000
1145,10,1.265790,6,0,0.000000
1148,17,4.250051,4,0,0.000000
1155,16,2.875660,3,2,0.666667
1159,18,12.452843,2,0,0.000000
1160,8,0.884589,2,0,0.000000
1161,10,1.594945,2,1,0.500000
1162,16,1.917564,3,0,0.000000
1165,9,5.749670,6,0,0.000000
1166,18,9.414675,4,0,0.000000
1168,11,0.852389,2,1,0.500000
1171,13,2.927243,3,0,0.000000
1172,13,5.077805,3,0,0.000000
1175,13,14.975173,2,0,0.000000
1176,10,0.789135,5,0,0.000000
1181,12,6.235975,3,0,0.000000
1183,12,13.184952,4,0,0.000000
1189,14,6.092972,4,1,0.250000
1194,8,2.273784,3,1,0.333333
1195,15,3.223821,2,0,0.000000
1198,14,9.191978,3,0,0.000000
1202,14,2.016155,2,0,0.000000
1203,7,3.976996,4,4,1.000000
1205,13,7.536375,2,0,0.000000
1207,15,11.386858,3,0,0.000000
1209,14,1.507323,2,0,0.000000
1211,17,3.035486,5,2,0.400000
1212,11,5.094541,2,2,1.000000
1213,19,5.598813,5,0,0.000000
1215,14,12.838164,3,0,0.000000
1217,11,1.347962,5,0,0.000000
1218,13,1.894004,3,0,0.000000
1219,10,3.407417,2,1,0.500000
1223,11,12.242866,5,0,0.000000
1224,8,1.044054,3,3,1.000000
1230,11,10.797331,2,1,0.500000
1231,10,15.706337,2,0,0.000000
1233,16,1.246750,5,0,0.000000
