seed,restore_rate,paraphrase_rate,horizon,cap,thr,amplification_rate,growth_nodedup_uncapped,recall_nodedup_uncapped,size_sizecap,recall_sizecap,size_dedup,recall_dedup,size_oracle,recall_oracle,dedup_minus_sizecap_recall,oracle_minus_dedup_recall,gate_prec,gate_rec,skipped_false,skipped_true
0,0.6,0.3,short,200,0.3,0.75,1000,1.0,200,0.55,168,0.27,200,1.0,-0.28,0.73,0.4796,0.9172,433,399
0,0.6,0.3,short,200,0.5,0.75,1000,1.0,200,0.55,200,0.595,200,1.0,0.045,0.405,0.862,0.7405,69,431
0,0.6,0.3,short,200,0.7,0.75,1000,1.0,200,0.55,200,0.5,200,1.0,-0.05,0.5,1.0,0.6869,0,408
0,0.6,0.6,long,120,0.3,0.75,1000,1.0,120,0.37,120,0.46,120,0.445,0.09,-0.015,0.4344,0.8141,405,311
0,0.6,0.6,long,120,0.5,0.75,1000,1.0,120,0.37,120,0.365,120,0.445,-0.005,0.08,0.7829,0.4753,56,202
0,0.6,0.6,long,120,0.7,0.75,1000,1.0,120,0.37,120,0.345,120,0.445,-0.025,0.1,0.9939,0.3756,1,163
0,0.6,0.6,long,200,0.3,0.75,1000,1.0,200,0.505,196,0.735,200,0.765,0.23,0.03,0.4689,0.8788,427,377
0,0.6,0.6,long,200,0.5,0.75,1000,1.0,200,0.505,200,0.56,200,0.765,0.055,0.205,0.825,0.5238,63,297
0,0.6,0.6,long,200,0.7,0.75,1000,1.0,200,0.505,200,0.56,200,0.765,0.055,0.205,0.9956,0.4039,1,225
0,0.6,0.6,short,120,0.3,0.75,1000,1.0,120,0.31,120,0.375,120,0.42,0.065,0.045,0.4344,0.8141,405,311
0,0.6,0.6,short,120,0.5,0.75,1000,1.0,120,0.31,120,0.29,120,0.42,-0.02,0.13,0.7829,0.4753,56,202
0,0.6,0.6,short,120,0.7,0.75,1000,1.0,120,0.31,120,0.31,120,0.42,0.0,0.11,0.9939,0.3756,1,163
0,0.6,0.6,short,200,0.3,0.75,1000,1.0,200,0.425,196,0.42,200,1.0,-0.005,0.58,0.4689,0.8788,427,377
0,0.6,0.6,short,200,0.5,0.75,1000,1.0,200,0.425,200,0.51,200,1.0,0.085,0.49,0.825,0.5238,63,297
0,0.6,0.6,short,200,0.7,0.75,1000,1.0,200,0.425,200,0.495,200,1.0,0.07,0.505,0.9956,0.4039,1,225
1,0.2,0.0,long,120,0.3,0.75,1000,1.0,120,0.455,106,0.67,120,0.48,0.215,-0.19,0.3557,1.0,576,318
1,0.2,0.0,long,120,0.5,0.75,1000,1.0,120,0.455,120,0.545,120,0.48,0.09,-0.065,0.823,1.0,86,400
1,0.2,0.0,long,120,0.7,0.75,1000,1.0,120,0.455,120,0.48,120,0.48,0.025,0.0,0.9898,0.9949,4,387
1,0.2,0.0,long,200,0.3,0.75,1000,1.0,200,0.575,106,0.67,200,0.885,0.095,0.215,0.3557,1.0,576,318
1,0.2,0.0,long,200,0.5,0.75,1000,1.0,200,0.575,200,0.75,200,0.885,0.175,0.135,0.854,1.0,105,614
1,0.2,0.0,long,200,0.7,0.75,1000,1.0,200,0.575,200,0.88,200,0.885,0.305,0.005,0.9922,1.0,5,634
1,0.2,0.0,short,120,0.3,0.75,1000,1.0,120,0.365,106,0.255,120,0.53,-0.11,0.275,0.3557,1.0,576,318
1,0.2,0.0,short,120,0.5,0.75,1000,1.0,120,0.365,120,0.505,120,0.53,0.14,0.025,0.823,1.0,86,400
1,0.2,0.0,short,120,0.7,0.75,1000,1.0,120,0.365,120,0.55,120,0.53,0.185,-0.02,0.9898,0.9949,4,387
1,0.2,0.0,short,200,0.3,0.75,1000,1.0,200,0.57,106,0.255,200,0.9,-0.315,0.645,0.3557,1.0,576,318
1,0.2,0.0,short,200,0.5,0.75,1000,1.0,200,0.57,200,0.85,200,0.9,0.28,0.05,0.854,1.0,105,614
1,0.2,0.0,short,200,0.7,0.75,1000,1.0,200,0.57,200,0.89,200,0.9,0.32,0.01,0.9922,1.0,5,634
1,0.2,0.3,long,120,0.3,0.75,1000,1.0,120,0.37,120,0.535,120,0.5,0.165,-0.035,0.3874,0.9708,525,332
1,0.2,0.3,long,120,0.5,0.75,1000,1.0,120,0.37,120,0.51,120,0.5,0.14,-0.01,0.8144,0.8916,75,329
1,0.2,0.3,long,120,0.7,0.75,1000,1.0,120,0.37,120,0.47,120,0.5,0.1,0.03,0.9939,0.8624,2,326
1,0.2,0.3,long,200,0.3,0.75,1000,1.0,200,0.585,129,0.69,200,0.92,0.105,0.23,0.3835,0.9738,537,334
1,0.2,0.3,long,200,0.5,0.75,1000,1.0,200,0.585,200,0.84,200,0.92,0.255,0.08,0.844,0.9113,95,514
1,0.2,0.3,long,200,0.7,0.75,1000,1.0,200,0.585,200,0.67,200,0.92,0.085,0.25,0.994,0.8732,3,496
1,0.2,0.3,short,120,0.3,0.75,1000,1.0,120,0.41,120,0.39,120,0.405,-0.02,0.015,0.3874,0.9708,525,332
1,0.2,0.3,short,120,0.5,0.75,1000,1.0,120,0.41,120,0.39,120,0.405,-0.02,0.015,0.8144,0.8916,75,329
1,0.2,0.3,short,120,0.7,0.75,1000,1.0,120,0.41,120,0.365,120,0.405,-0.045,0.04,0.9939,0.8624,2,326
1,0.2,0.3,short,200,0.3,0.75,1000,1.0,200,0.485,129,0.365,200,0.765,-0.12,0.4,0.3835,0.9738,537,334
1,0.2,0.3,short,200,0.5,0.75,1000,1.0,200,0.485,200,0.62,200,0.765,0.135,0.145,0.844,0.9113,95,514
1,0.2,0.3,short,200,0.7,0.75,1000,1.0,200,0.485,200,0.605,200,0.765,0.12,0.16,0.994,0.8732,3,496
1,0.2,0.6,long,120,0.3,0.75,1000,1.0,120,0.37,120,0.45,120,0.415,0.08,-0.035,0.375,0.9189,510,306
1,0.2,0.6,long,120,0.5,0.75,1000,1.0,120,0.37,120,0.415,120,0.415,0.045,0.0,0.7865,0.8116,76,280
1,0.2,0.6,long,120,0.7,0.75,1000,1.0,120,0.37,120,0.47,120,0.415,0.1,-0.055,0.9961,0.7391,1,255
1,0.2,0.6,long,200,0.3,0.75,1000,1.0,200,0.52,141,0.695,200,0.885,0.175,0.19,0.3749,0.9306,537,322
1,0.2,0.6,long,200,0.5,0.75,1000,1.0,200,0.52,200,0.775,200,0.885,0.255,0.11,0.8518,0.8439,79,454
1,0.2,0.6,long,200,0.7,0.75,1000,1.0,200,0.52,200,0.575,200,0.885,0.055,0.31,0.9927,0.7523,3,407
1,0.2,0.6,short,120,0.3,0.75,1000,1.0,120,0.37,120,0.435,120,0.595,0.065,0.16,0.375,0.9189,510,306
1,0.2,0.6,short,120,0.5,0.75,1000,1.0,120,0.37,120,0.55,120,0.595,0.18,0.045,0.7865,0.8116,76,280
1,0.2,0.6,short,120,0.7,0.75,1000,1.0,120,0.37,120,0.455,120,0.595,0.085,0.14,0.9961,0.7391,1,255
1,0.2,0.6,short,200,0.3,0.75,1000,1.0,200,0.615,141,0.345,200,0.74,-0.27,0.395,0.3749,0.9306,537,322
1,0.2,0.6,short,200,0.5,0.75,1000,1.0,200,0.615,200,0.685,200,0.74,0.07,0.055,0.8518,0.8439,79,454
1,0.2,0.6,short,200,0.7,0.75,1000,1.0,200,0.615,200,0.75,200,0.74,0.135,-0.01,0.9927,0.7523,3,407
1,0.4,0.0,long,120,0.3,0.75,1000,1.0,120,0.39,111,0.655,120,0.595,0.265,-0.06,0.3858,1.0,546,343
1,0.4,0.0,long,120,0.5,0.75,1000,1.0,120,0.39,120,0.605,120,0.595,0.215,-0.01,0.8289,1.0,84,407
1,0.4,0.0,long,120,0.7,0.75,1000,1.0,120,0.39,120,0.59,120,0.595,0.2,0.005,0.9977,0.9907,1,428
1,0.4,0.0,long,200,0.3,0.75,1000,1.0,200,0.635,111,0.655,200,0.905,0.02,0.25,0.3858,1.0,546,343
1,0.4,0.0,long,200,0.5,0.75,1000,1.0,200,0.635,200,0.72,200,0.905,0.085,0.185,0.8725,1.0,89,609
1,0.4,0.0,long,200,0.7,0.75,1000,1.0,200,0.635,200,0.905,200,0.905,0.27,0.0,0.9968,0.9968,2,626
1,0.4,0.0,short,120,0.3,0.75,1000,1.0,120,0.395,111,0.295,120,0.465,-0.1,0.17,0.3858,1.0,546,343
1,0.4,0.0,short,120,0.5,0.75,1000,1.0,120,0.395,120,0.43,120,0.465,0.035,0.035,0.8289,1.0,84,407
1,0.4,0.0,short,120,0.7,0.75,1000,1.0,120,0.395,120,0.475,120,0.465,0.08,-0.01,0.9977,0.9907,1,428
1,0.4,0.0,short,200,0.3,0.75,1000,1.0,200,0.515,111,0.295,200,0.86,-0.22,0.565,0.3858,1.0,546,343
1,0.4,0.0,short,200,0.5,0.75,1000,1.0,200,0.515,200,0.9,200,0.86,0.385,-0.04,0.8725,1.0,89,609
1,0.4,0.0,short,200,0.7,0.75,1000,1.0,200,0.515,200,0.825,200,0.86,0.31,0.035,0.9968,0.9968,2,626
1,0.4,0.3,long,120,0.3,0.75,1000,1.0,120,0.365,120,0.32,120,0.465,-0.045,0.145,0.4257,0.9216,460,341
1,0.4,0.3,long,120,0.5,0.75,1000,1.0,120,0.365,120,0.45,120,0.465,0.085,0.015,0.8291,0.7927,67,325
1,0.4,0.3,long,120,0.7,0.75,1000,1.0,120,0.365,120,0.395,120,0.465,0.03,0.07,0.9968,0.7562,1,307
1,0.4,0.3,long,200,0.3,0.75,1000,1.0,200,0.515,154,0.72,200,0.89,0.205,0.17,0.4433,0.9446,471,375
1,0.4,0.3,long,200,0.5,0.75,1000,1.0,200,0.515,200,0.8,200,0.89,0.285,0.09,0.8881,0.8345,61,484
1,0.4,0.3,long,200,0.7,0.75,1000,1.0,200,0.515,200,0.58,200,0.89,0.065,0.31,0.9953,0.7589,2,428
1,0.4,0.3,short,120,0.3,0.75,1000,1.0,120,0.405,120,0.515,120,0.465,0.11,-0.05,0.4257,0.9216,460,341
1,0.4,0.3,short,120,0.5,0.75,1000,1.0,120,0.405,120,0.475,120,0.465,0.07,-0.01,0.8291,0.7927,67,325
1,0.4,0.3,short,120,0.7,0.75,1000,1.0,120,0.405,120,0.495,120,0.465,0.09,-0.03,0.9968,0.7562,1,307
1,0.4,0.3,short,200,0.3,0.75,1000,1.0,200,0.59,154,0.42,200,0.895,-0.17,0.475,0.4433,0.9446,471,375
1,0.4,0.3,short,200,0.5,0.75,1000,1.0,200,0.59,200,0.58,200,0.895,-0.01,0.315,0.8881,0.8345,61,484
1,0.4,0.3,short,200,0.7,0.75,1000,1.0,200,0.59,200,0.75,200,0.895,0.16,0.145,0.9953,0.7589,2,428
1,0.4,0.6,long,120,0.3,0.75,1000,1.0,120,0.41,120,0.495,120,0.51,0.085,0.015,0.4099,0.8324,429,298
1,0.4,0.6,long,120,0.5,0.75,1000,1.0,120,0.41,120,0.5,120,0.51,0.09,0.01,0.7607,0.627,73,232
1,0.4,0.6,long,120,0.7,0.75,1000,1.0,120,0.41,120,0.5,120,0.51,0.09,0.01,0.9904,0.5419,2,207
1,0.4,0.6,long,200,0.3,0.75,1000,1.0,200,0.68,178,0.695,200,0.875,0.015,0.18,0.4428,0.901,458,364
1,0.4,0.6,long,200,0.5,0.75,1000,1.0,200,0.68,200,0.58,200,0.875,-0.1,0.295,0.8325,0.6679,70,348
1,0.4,0.6,long,200,0.7,0.75,1000,1.0,200,0.68,200,0.73,200,0.875,0.05,0.145,0.9967,0.5706,1,299
1,0.4,0.6,short,120,0.3,0.75,1000,1.0,120,0.37,120,0.395,120,0.49,0.025,0.095,0.4099,0.8324,429,298
1,0.4,0.6,short,120,0.5,0.75,1000,1.0,120,0.37,120,0.465,120,0.49,0.095,0.025,0.7607,0.627,73,232
1,0.4,0.6,short,120,0.7,0.75,1000,1.0,120,0.37,120,0.435,120,0.49,0.065,0.055,0.9904,0.5419,2,207
1,0.4,0.6,short,200,0.3,0.75,1000,1.0,200,0.515,178,0.445,200,0.86,-0.07,0.415,0.4428,0.901,458,364
1,0.4,0.6,short,200,0.5,0.75,1000,1.0,200,0.515,200,0.66,200,0.86,0.145,0.2,0.8325,0.6679,70,348
1,0.4,0.6,short,200,0.7,0.75,1000,1.0,200,0.515,200,0.625,200,0.86,0.11,0.235,0.9967,0.5706,1,299
