sweep,alpha,c,shape,base_w,k,policyB,fpr,fnr,sd,ov,R,mean_A,mean_B,penalty,ci_lo,ci_hi,dnc_A,dnc_B,mean_A_compl,mean_B_compl,penalty_compl
alpha_B2,0.005,20,linear,0,2.0,B2,0,0,0,1,4000,187.38575,122.4655,0.5301105209222189,0.48975553814719414,0.5720539280958722,0.694,0.0145,44.623366013071895,111.43784880771182,-0.5995672341982267
alpha_B2,0.01,20,linear,0,2.0,B2,0,0,0,1,4000,167.7765,97.32375,0.7239008977767502,0.6798648682340624,0.7705879071694767,0.6515,0.01125,42.09756097560975,91.51807838179519,-0.5400082506104738
alpha_B2,0.02,20,linear,0,2.0,B2,0,0,0,1,4000,163.78225,85.5785,0.9138247340161372,0.8698976388300743,0.9686727715520725,0.5915,0.01325,36.880048959608324,81.0266024828984,-0.5448402397546869
alpha_B2,0.04,20,linear,0,2.0,B2,0,0,0,1,4000,114.41775,78.5685,0.45628018862521236,0.4221866264643991,0.4941266655427864,0.474,0.01025,39.085076045627375,76.27986865370043,-0.4876095523568877
weibull_B1,0.0,20,weibull,0.0,2.0,B1,0.1,0.1,3.0,1,4000,22.00825,22.75325,-0.032742575236504715,-0.04609986504723342,-0.019592055823939986,0.0,0.0,22.00825,22.75325,-0.032742575236504715
weibull_B1,0.0,20,weibull,0.0002,2.0,B1,0.1,0.1,3.0,1,4000,42.532,129.8845,-0.6725398334674269,-0.6954905326050856,-0.6509340000826549,0.0,0.00475,42.532,113.08867118814368,-0.6239057409274865
weibull_B1,0.0,20,weibull,0.0005,2.0,B1,0.1,0.1,3.0,1,4000,92.21125,197.527,-0.5331714145407969,-0.5547426312310892,-0.5105327972023214,0.00375,0.014,91.16537013801756,164.15365111561866,-0.4446339175617429
weibull_B1,0.0,20,weibull,0.001,2.0,B1,0.1,0.1,3.0,1,4000,178.1005,183.87375,-0.0313979020931481,-0.0654868635422836,0.004538532207099972,0.3355,0.0135,107.1877351392024,161.01241763811456,-0.33428901502421066
detector_B1,0.02,20,linear,0,2.0,B1,0.0,0.0,3.0,1,4000,161.17925,74.9495,1.1505046731465853,1.0989144229520103,1.19704556252928,0.5735,0.014,38.53458382180539,70.02231237322515,-0.44968135847310164
detector_B1,0.02,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,162.70575,83.84875,0.9404672103042682,0.8898839663376159,0.98996332694962,0.57925,0.0085,38.535353535353536,80.93166918809884,-0.5238532218359307
detector_B1,0.02,20,linear,0,2.0,B1,0.25,0.25,3.0,1,4000,164.4235,100.45925,0.6367183708817257,0.5941576927837605,0.6802613219906761,0.59325,0.01325,39.0,96.09804915125412,-0.5941644981927187
detector_B1,0.02,20,linear,0,2.0,B1,0.5,0.5,3.0,1,4000,163.341,122.0095,0.3387564083124675,0.3010802622924681,0.3729119350910107,0.58025,0.016,40.720667063728406,116.8785569105691,-0.6515984784541252
ckpt_B1,0.02,10,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,105.30825,97.807,0.07669440837567862,0.0572098049761948,0.09922475776934342,0.76425,0.01125,46.34146341463415,93.87534766118837,-0.5063510861031574
ckpt_B1,0.02,20,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,162.70575,83.84875,0.9404672103042682,0.8898839663376159,0.98996332694962,0.57925,0.0085,38.535353535353536,80.93166918809884,-0.5238532218359307
ckpt_B1,0.02,40,linear,0,2.0,B1,0.1,0.1,3.0,1,4000,141.485,107.01,0.3221661526960098,0.29149633783205303,0.35259775535718096,0.35125,0.0165,58.43082851637765,101.14743263853585,-0.42232020139168347
