band,source,original,parsed,survived,zod_passed
above,rand_above,6759663240141955689,6759663240141956096,0,1
above,rand_above,7535493253603909345,7535493253603909632,0,1
above,rand_above,9029321978744924488,9029321978744924160,0,1
above,rand_above,4922354350677217989,4922354350677218304,0,1
above,rand_above,1168943213378910644,1168943213378910720,0,1
above,rand_above,6094134482734826333,6094134482734826496,0,1
above,rand_above,8742144824807529246,8742144824807529472,0,1
above,rand_above,1532034580809248176,1532034580809248256,0,1
above,rand_above,4875938800189751363,4875938800189751296,0,1
above,rand_above,5603848563044369818,5603848563044369408,0,1
above,rand_above,8903685047166616735,8903685047166616576,0,1
above,rand_above,8576721963542145057,8576721963542145024,0,1
above,rand_above,6975099085125537531,6975099085125537792,0,1
above,rand_above,6371913075735184170,6371913075735184384,0,1
above,rand_above,6584800811186823903,6584800811186824192,0,1
above,rand_above,3689061610758644634,3689061610758644736,0,1
above,rand_above,6204225931456945086,6204225931456945152,0,1
above,rand_above,3453203427316623502,3453203427316623360,0,1
above,rand_above,8306482579300111265,8306482579300111360,0,1
above,rand_above,4173231874761546164,4173231874761546240,0,1
above,rand_above,2295532949329289623,2295532949329289728,0,1
above,rand_above,599541898927260623,599541898927260672,0,1
above,rand_above,203014017383188123,203014017383188128,0,1
above,rand_above,5118031470805083746,5118031470805084160,0,1
above,rand_above,5436409320380615827,5436409320380615680,0,1
above,rand_above,75331025783237302,75331025783237296,0,1
above,rand_above,6537687579191188054,6537687579191188480,0,1
above,rand_above,552021841343936182,552021841343936192,0,1
above,rand_above,630665452470398420,630665452470398464,0,1
above,rand_above,298740598805469990,298740598805470016,0,1
above,rand_above,3056672144572354753,3056672144572354560,0,1
above,rand_above,4751260395583550739,4751260395583550464,0,1
above,rand_above,2577506619490164525,2577506619490164736,0,1
above,rand_above,4486165718039142567,4486165718039142400,0,1
above,rand_above,4982562393886832954,4982562393886832640,0,1
above,rand_above,6680756985943502959,6680756985943502848,0,1
above,rand_above,8147554549372935286,8147554549372935168,0,1
above,rand_above,5323621590866321754,5323621590866321408,0,1
above,rand_above,2250261135091628025,2250261135091628032,0,1
above,rand_above,4371412563277959583,4371412563277959680,0,1
above,rand_above,3763472694385319837,3763472694385319936,0,1
above,rand_above,879009150078465119,879009150078465152,0,1
above,rand_above,6087050290527237419,6087050290527237120,0,1
above,rand_above,3276825504830283475,3276825504830283264,0,1
above,rand_above,3800756466314356241,3800756466314356224,0,1
above,rand_above,7976494886248443315,7976494886248442880,0,1
above,rand_above,508648182518167322,508648182518167296,0,1
above,rand_above,6036070242380258915,6036070242380259328,0,1
above,rand_above,5968963445594406992,5968963445594406912,0,1
above,rand_above,568060445235210734,568060445235210752,0,1
above,rand_above,6725592047628202042,6725592047628201984,0,1
above,rand_above,7393169753455233287,7393169753455233024,0,1
above,rand_above,1016836135253873246,1016836135253873280,0,1
above,rand_above,1776113701181976836,1776113701181976832,0,1
above,rand_above,4955370204213381103,4955370204213381120,0,1
above,rand_above,1301960694225720957,1301960694225720832,0,1
above,rand_above,1701385647547248481,1701385647547248384,0,1
above,rand_above,4275998015787809817,4275998015787809792,0,1
above,rand_above,8074716496702689471,8074716496702689280,0,1
above,rand_above,704310082855969404,704310082855969408,0,1
above,rand_above,7461696975016100916,7461696975016100864,0,1
above,rand_above,7903908295667179495,7903908295667179520,0,1
above,rand_above,912055832590556835,912055832590556800,0,1
above,rand_above,6023982161625045848,6023982161625046016,0,1
above,rand_above,4995050817830582741,4995050817830582272,0,1
above,rand_above,145124354362304368,145124354362304384,0,1
above,rand_above,869204468935172995,869204468935172992,0,1
above,rand_above,6959422176984720105,6959422176984720384,0,1
above,rand_above,2189223174619799461,2189223174619799552,0,1
above,rand_above,3757515279934119266,3757515279934119424,0,1
above,rand_above,4448755023095200279,4448755023095200256,0,1
above,rand_above,7983999472926991489,7983999472926991360,0,1
above,rand_above,8332573530506564485,8332573530506564608,0,1
above,rand_above,1527516612406721232,1527516612406721280,0,1
above,rand_above,28887002472800739,28887002472800740,0,1
above,rand_above,3610012315367060296,3610012315367060480,0,1
above,rand_above,8554628067885340924,8554628067885340672,0,1
above,rand_above,7250547351892842950,7250547351892842496,0,1
above,rand_above,2639966972598250938,2639966972598251008,0,1
above,rand_above,6433929782241146858,6433929782241146880,0,1
above,rand_above,6746729499629634755,6746729499629634560,0,1
above,rand_above,7234242011972502909,7234242011972502528,0,1
above,rand_above,6113692502915994932,6113692502915994624,0,1
above,rand_above,4497758732631513802,4497758732631513600,0,1
above,rand_above,1760505884114469847,1760505884114469888,0,1
above,rand_above,2016943538561157970,2016943538561157888,0,1
above,rand_above,548420370982327878,548420370982327872,0,1
above,rand_above,6794984894390151360,6794984894390151168,0,1
above,rand_above,571241531848871440,571241531848871424,0,1
above,rand_above,2901501087426761627,2901501087426761728,0,1
above,rand_above,471488595033743915,471488595033743936,0,1
above,rand_above,4406605064878991802,4406605064878991872,0,1
above,rand_above,8488856709261610340,8488856709261609984,0,1
above,rand_above,4907781192030083530,4907781192030083072,0,1
above,rand_above,533628659044287205,533628659044287232,0,1
above,rand_above,4692898360858090274,4692898360858090496,0,1
above,rand_above,7861256247700500307,7861256247700500480,0,1
above,rand_above,641004920330402198,641004920330402176,0,1
above,rand_above,635835516630349953,635835516630349952,0,1
above,rand_above,7957886340037262028,7957886340037262336,0,1
above,rand_above,3733179351285781142,3733179351285780992,0,1
above,rand_above,8693698549959943050,8693698549959943168,0,1
above,rand_above,5263335485650624153,5263335485650624512,0,1
above,rand_above,5348593010366478356,5348593010366478336,0,1
above,rand_above,375559360324200534,375559360324200512,0,1
above,rand_above,765170665783282021,765170665783282048,0,1
above,rand_above,6072204462574949091,6072204462574949376,0,1
above,rand_above,5222305408351964172,5222305408351964160,0,1
above,rand_above,2927003992377857685,2927003992377857536,0,1
above,rand_above,2414146218529188053,2414146218529187840,0,1
above,rand_above,6186139034797626552,6186139034797626368,0,1
above,rand_above,2906841896302696589,2906841896302696448,0,1
above,rand_above,2458868674905933277,2458868674905933312,0,1
above,rand_above,1216146250992335014,1216146250992335104,0,1
above,rand_above,5962701124236731388,5962701124236731392,0,1
above,rand_above,4226159558974544834,4226159558974544896,0,1
above,rand_above,8577688907157667082,8577688907157666816,0,1
above,rand_above,8639632714078236914,8639632714078236672,0,1
above,rand_above,94927131264561027,94927131264561024,0,1
above,rand_above,5738190065928123175,5738190065928123392,0,1
above,rand_above,5201706991794959810,5201706991794959360,0,1
above,rand_above,931171496989044045,931171496989044096,0,1
above,rand_above,4967809335238407904,4967809335238408192,0,1
above,rand_above,4674969948677818347,4674969948677818368,0,1
above,rand_above,1230703380656303279,1230703380656303360,0,1
above,rand_above,3228045523297113662,3228045523297113600,0,1
above,rand_above,643495029389676673,643495029389676672,0,1
above,rand_above,2262133242487888579,2262133242487888640,0,1
above,rand_above,2637551963660178386,2637551963660178432,0,1
above,rand_above,4050546480298203320,4050546480298203136,0,1
above,rand_above,5019308543299309362,5019308543299309568,0,1
above,rand_above,2799235330347839811,2799235330347840000,0,1
above,rand_above,9083452304309807596,9083452304309807104,0,1
above,rand_above,7453190240572493401,7453190240572493824,0,1
above,rand_above,4887624024893095398,4887624024893094912,0,1
above,rand_above,6168957975063998960,6168957975063998464,0,1
above,rand_above,5124310413326793882,5124310413326793728,0,1
above,rand_above,8602939818682619370,8602939818682618880,0,1
above,rand_above,964424038603806663,964424038603806720,0,1
above,rand_above,8108298896194516846,8108298896194516992,0,1
above,rand_above,2448274806909495055,2448274806909495296,0,1
above,rand_above,8215158542270512044,8215158542270512128,0,1
above,rand_above,6856592500256585129,6856592500256584704,0,1
above,rand_above,1442761108596199575,1442761108596199680,0,1
above,rand_above,2607750130068659417,2607750130068659200,0,1
above,rand_above,1951722846587068587,1951722846587068672,0,1
above,rand_above,3171519668241657511,3171519668241657344,0,1
above,rand_above,6350048988403528715,6350048988403528704,0,1
above,rand_above,7875739416673479465,7875739416673479680,0,1
above,rand_above,4670582974810714854,4670582974810715136,0,1
above,rand_above,2325191907699879008,2325191907699878912,0,1
above,rand_above,8385295948448014791,8385295948448014336,0,1
above,rand_above,477544321920942272,477544321920942272,1,1
above,rand_above,5859248609561730889,5859248609561731072,0,1
above,rand_above,7658393218524870195,7658393218524870656,0,1
above,rand_above,415635831942054899,415635831942054912,0,1
above,rand_above,3085523244403941070,3085523244403940864,0,1
above,rand_above,1215605559171486157,1215605559171486208,0,1
above,rand_above,9046048237397073076,9046048237397072896,0,1
above,rand_above,1499337895491633181,1499337895491633152,0,1
above,rand_above,4084220486693768991,4084220486693769216,0,1
above,rand_above,6517640628128116121,6517640628128115712,0,1
above,rand_above,5182459926630163401,5182459926630163456,0,1
above,rand_above,1040861633187526310,1040861633187526272,0,1
above,rand_above,8725563547792387681,8725563547792388096,0,1
above,rand_above,6382538232777884336,6382538232777884672,0,1
above,rand_above,1383790350134926570,1383790350134926592,0,1
above,rand_above,341308129799818811,341308129799818816,0,1
above,rand_above,3414423601458709739,3414423601458709504,0,1
above,rand_above,5105151722852931792,5105151722852931584,0,1
above,rand_above,3973089987773692279,3973089987773692416,0,1
above,rand_above,394810363811480834,394810363811480832,0,1
above,rand_above,3372323749942133991,3372323749942133760,0,1
above,rand_above,8615225025452287625,8615225025452288000,0,1
above,rand_above,8975935001506786270,8975935001506786304,0,1
above,rand_above,376972457247441201,376972457247441216,0,1
above,rand_above,3309214868831202496,3309214868831202304,0,1
above,rand_above,6299962050488013676,6299962050488013824,0,1
above,rand_above,6160382219197165127,6160382219197165568,0,1
above,rand_above,3271116796099342019,3271116796099341824,0,1
above,rand_above,5173021183460094652,5173021183460094976,0,1
above,rand_above,8076808054010980060,8076808054010980352,0,1
above,rand_above,8991068329985202495,8991068329985202176,0,1
above,rand_above,6921718083709283370,6921718083709283328,0,1
above,rand_above,8547671341377048253,8547671341377048576,0,1
above,rand_above,2192523659766967989,2192523659766968064,0,1
above,rand_above,1507821433447173268,1507821433447173376,0,1
above,rand_above,7386662829197665129,7386662829197665280,0,1
above,rand_above,1642027057998117978,1642027057998117888,0,1
above,rand_above,3811751966810603024,3811751966810603008,0,1
above,rand_above,1663317314882790970,1663317314882790912,0,1
above,rand_above,8535897446949027113,8535897446949026816,0,1
above,rand_above,7225248884477008710,7225248884477008896,0,1
above,rand_above,3806390877174756137,3806390877174756352,0,1
above,rand_above,6187809882723272738,6187809882723272704,0,1
above,rand_above,6788716322125728967,6788716322125728768,0,1
above,rand_above,2297945980882732138,2297945980882732032,0,1
above,rand_above,1477348113928511755,1477348113928511744,0,1
above,rand_above,6477156834344001599,6477156834344001536,0,1
above,rand_above,3537331822749558695,3537331822749558784,0,1
above,rand_above,366178628956213904,366178628956213888,0,1
above,rand_above,4350356374757885047,4350356374757884928,0,1
above,rand_above,1849741638229912193,1849741638229912320,0,1
above,rand_above,8480230792781091280,8480230792781090816,0,1
above,rand_above,3234036919039323860,3234036919039323648,0,1
above,rand_above,7577119504629562650,7577119504629562368,0,1
above,rand_above,8045543732551598886,8045543732551599104,0,1
above,rand_above,2065114057505223354,2065114057505223424,0,1
above,rand_above,6096738843079139163,6096738843079139328,0,1
above,rand_above,3684207176218375223,3684207176218375168,0,1
above,rand_above,2578666845163289004,2578666845163289088,0,1
above,rand_above,649300618217143305,649300618217143296,0,1
above,rand_above,7141686514593172304,7141686514593172480,0,1
above,rand_above,3247758578562677848,3247758578562677760,0,1
above,rand_above,4707445259099448757,4707445259099448320,0,1
above,rand_above,6276455570737287838,6276455570737288192,0,1
above,rand_above,7790407974294167589,7790407974294167552,0,1
above,rand_above,3063325623050399527,3063325623050399744,0,1
above,rand_above,263577233546926201,263577233546926208,0,1
above,rand_above,8098258749472835942,8098258749472835584,0,1
above,rand_above,2418292154908290210,2418292154908290048,0,1
above,rand_above,5364002309056929499,5364002309056929792,0,1
above,rand_above,9080660091743020567,9080660091743021056,0,1
above,rand_above,361867561517030021,361867561517030016,0,1
above,rand_above,5511405826872460540,5511405826872460288,0,1
above,rand_above,3197407999014441484,3197407999014441472,0,1
above,rand_above,7262526852961529305,7262526852961528832,0,1
above,rand_above,4034030338849974303,4034030338849974272,0,1
above,rand_above,9086980607035080917,9086980607035080704,0,1
above,rand_above,1075651317116739373,1075651317116739328,0,1
above,rand_above,8305473979017865955,8305473979017866240,0,1
above,rand_above,1762174463540676141,1762174463540676096,0,1
above,rand_above,418400686979776140,418400686979776128,0,1
above,rand_above,4030927939640161232,4030927939640161280,0,1
above,rand_above,4804425982967469795,4804425982967470080,0,1
above,rand_above,7447756969239281270,7447756969239281664,0,1
above,rand_above,6344146162883755372,6344146162883755008,0,1
above,rand_above,8681403744793694324,8681403744793694208,0,1
above,rand_above,6806980008602529962,6806980008602529792,0,1
above,rand_above,1826335532975542083,1826335532975542016,0,1
above,rand_above,3987023575574748758,3987023575574748672,0,1
above,rand_above,8760829580071783850,8760829580071783424,0,1
above,rand_above,8501619355598682900,8501619355598683136,0,1
above,rand_above,5756601374700207439,5756601374700207104,0,1
above,rand_above,6127676653400016518,6127676653400016896,0,1
above,rand_above,1158472852263372691,1158472852263372800,0,1
above,rand_above,8310474031056933024,8310474031056932864,0,1
above,rand_above,4686386766693919632,4686386766693919744,0,1
above,rand_above,6160008553004091286,6160008553004091392,0,1
above,rand_above,3017513465507770389,3017513465507770368,0,1
above,rand_above,6439619784891151926,6439619784891152384,0,1
above,rand_above,5122559791007272736,5122559791007272960,0,1
above,rand_above,1778419767386173174,1778419767386173184,0,1
above,rand_above,6141898686438989566,6141898686438989824,0,1
above,rand_above,3506005168090754151,3506005168090754048,0,1
above,rand_above,6909330552162399596,6909330552162399232,0,1
above,rand_above,1614126100435059622,1614126100435059712,0,1
above,rand_above,5258076726513263279,5258076726513263616,0,1
above,rand_above,3754389562228149530,3754389562228149760,0,1
above,rand_above,7698764648921013474,7698764648921013248,0,1
above,rand_above,2811758936566962827,2811758936566962688,0,1
above,rand_above,1947600269322956140,1947600269322956032,0,1
above,rand_above,7256353214147929672,7256353214147930112,0,1
above,rand_above,5604472530342109670,5604472530342109184,0,1
above,rand_above,2981231760397486506,2981231760397486592,0,1
above,rand_above,4083763973433423689,4083763973433423872,0,1
above,rand_above,6240568580835992169,6240568580835992576,0,1
above,rand_above,4723755146460603034,4723755146460603392,0,1
above,rand_above,7329924067084122818,7329924067084123136,0,1
above,rand_above,8861894824156186948,8861894824156186624,0,1
above,rand_above,6797053446060525401,6797053446060525568,0,1
above,rand_above,6085832783575442725,6085832783575442432,0,1
above,rand_above,2626474790809315592,2626474790809315840,0,1
