K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
4,1.0,heavy,25.6,16,few,256,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
4,1.0,heavy,25.6,16,all,512,1000000000,8192,0.0,8192,0.0,0,0.0,0.0,0.9866666666666667,0.9866666666666667,6.609691284205594,6.609691284205594,1.0,3.1211765149671273,3.1211765149671273
8,0.0,light,2.4,4,one,128,1000000000,387413.3333333333,22039.140293779357,383317.3333333333,23719.59692368785,-4096,-8874.666666666666,0.0,0.36944444444444446,0.3761111111111111,0.7892104137290398,1.0485468433359852,1.3286023918280223,0.09131950205833847,0.09131950205833847
8,0.0,light,2.4,4,few,512,1000000000,306176,14661.448768794986,297642.6666666667,16874.437419428898,-8533.333333333334,-13994.666666666666,-4096.0,0.5016666666666667,0.5155555555555555,0.7892104137290398,1.1326332606373626,1.435147383934838,0.09131950205833847,0.09131950205833847
8,0.0,light,2.4,4,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,0.7892104137290398,0.7602576129888389,0.9633142185701806,0.09131950205833847,0.09131950205833848
8,0.0,light,9.6,16,one,128,1000000000,40618.666666666664,26211.644299602587,40618.666666666664,26211.644299602587,0,0.0,0.0,0.9338888888888889,0.9338888888888889,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,0.0,light,9.6,16,few,512,1000000000,40618.666666666664,26211.644299602587,40618.666666666664,26211.644299602587,0,0.0,0.0,0.9338888888888889,0.9338888888888889,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,0.0,light,9.6,16,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,0.0,heavy,6.4,4,one,128,1000000000,333482.6666666667,10268.40504763141,43690.666666666664,9056.596760863811,-289792,-296618.6666666667,-283306.6666666667,0.4572222222222222,0.9288888888888889,26.690634437630035,43.77950042756097,1.640257017114514,12.821459820740374,12.821459820740372
8,0.0,heavy,6.4,4,few,512,1000000000,306176,14661.448768794986,36864,8276.893459102475,-269312,-280234.6666666667,-260437.33333333334,0.5016666666666667,0.94,26.690634437630035,46.27923857517419,1.733913020438622,12.821459820740374,12.82145982074037
8,0.0,heavy,6.4,4,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,26.690634437630035,59.24017565616309,2.2195117090451317,12.821459820740374,12.821459820740372
8,0.0,heavy,25.6,16,one,128,1000000000,17408,1564.1858372115935,16725.333333333332,763.2445363199282,-682.6666666666666,-2048.0,0.0,0.9716666666666667,0.9727777777777779,6.609691284205594,13.241065982070337,2.0032805486257677,3.1211765149671273,3.121176514967127
8,0.0,heavy,25.6,16,few,512,1000000000,17408,1564.1858372115935,16725.333333333332,763.2445363199282,-682.6666666666666,-2048.0,0.0,0.9716666666666667,0.9727777777777779,6.609691284205594,13.241065982070337,2.0032805486257677,3.1211765149671273,3.121176514967127
8,0.0,heavy,25.6,16,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,6.609691284205594,12.003800253919529,1.816090909208363,3.1211765149671273,3.121176514967127
8,1.0,light,2.4,4,one,128,1000000000,300714.6666666667,18409.863250140912,297301.3333333333,18371.85248023605,-3413.3333333333335,-10240.0,2048.0,0.5105555555555555,0.5161111111111111,0.7892104137290398,1.1022309377845758,1.3966249286758723,0.09131950205833847,0.09131950205833848
8,1.0,light,2.4,4,few,512,1000000000,218453.33333333334,11007.669245676952,213333.33333333334,9563.42662903255,-5120,-8192.0,-2048.0,0.6444444444444445,0.6527777777777778,0.7892104137290398,1.0883258583724806,1.379005952582547,0.09131950205833847,0.09131950205833848
8,1.0,light,2.4,4,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,0.7892104137290398,0.7892104137290398,1.0,0.09131950205833847,0.09131950205833847
8,1.0,light,9.6,16,one,128,1000000000,65536,29299.048084650578,65536,29299.048084650578,0,0.0,0.0,0.8933333333333333,0.8933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,1.0,light,9.6,16,few,512,1000000000,65536,29299.048084650578,65536,29299.048084650578,0,0.0,0.0,0.8933333333333333,0.8933333333333333,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,1.0,light,9.6,16,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
8,1.0,heavy,6.4,4,one,128,1000000000,251221.33333333334,8163.506000623887,32768,8276.893459102475,-218453.33333333334,-228010.66666666666,-207872.0,0.5911111111111111,0.9466666666666667,26.690634437630035,53.94543902943149,2.0211373826834187,12.821459820740374,12.821459820740372
8,1.0,heavy,6.4,4,few,512,1000000000,218453.33333333334,11007.669245676952,23893.333333333332,4680.12687387378,-194560,-204117.33333333334,-182954.66666666666,0.6444444444444445,0.9611111111111111,26.690634437630035,58.69424050546655,2.199057524939008,12.821459820740374,12.82145982074037
8,1.0,heavy,6.4,4,all,1024,1000000000,16384,0.0,16384,0.0,0,0.0,0.0,0.9733333333333334,0.9733333333333334,26.690634437630035,58.45325759446588,2.1900287807342274,12.821459820740374,12.821459820740372
8,1.0,heavy,25.6,16,one,128,1000000000,22528,5670.655223752073,16384,0.0,-6144,-10581.333333333334,-2048.0,0.9633333333333334,0.9733333333333334,6.609691284205594,12.904337944212989,1.9523359547894432,3.1211765149671273,3.1211765149671273
8,1.0,heavy,25.6,16,few,512,1000000000,22528,5670.655223752073,16384,0.0,-6144,-10581.333333333334,-2048.0,0.9633333333333334,0.9733333333333334,6.609691284205594,12.904337944212989,1.9523359547894432,3.1211765149671273,3.1211765149671273
