p_constrained,p_prose,gap,f,r,best_fixed_k,tps_best_fixed,adapt_kc,adapt_kp,tps_adaptive,gain_pct,spd_fixed_vs_nospec,spd_adapt_vs_nospec
0.94,0.55,0.39,0.2,0.35,1,1.19624,6,1,1.24595,4.155,1.1962,1.246
0.94,0.55,0.39,0.35,0.05,5,2.17072,19,4,2.34035,7.814,2.1707,2.3404
0.94,0.55,0.39,0.35,0.1,4,1.84608,14,3,1.99244,7.928,1.8461,1.9924
0.94,0.55,0.39,0.35,0.2,2,1.50429,9,2,1.61637,7.451,1.5043,1.6164
0.94,0.55,0.39,0.35,0.35,2,1.23883,6,1,1.33098,7.439,1.2388,1.331
0.94,0.55,0.39,0.5,0.05,6,2.45117,19,4,2.72691,11.249,2.4512,2.7269
0.94,0.55,0.39,0.5,0.1,4,2.04277,14,3,2.26743,10.998,2.0428,2.2674
0.94,0.55,0.39,0.5,0.2,3,1.62552,9,2,1.78594,9.869,1.6255,1.7859
0.94,0.55,0.39,0.5,0.35,2,1.31601,6,1,1.42847,8.546,1.316,1.4285
0.94,0.55,0.39,0.6,0.05,7,2.70614,19,4,3.06433,13.236,2.7061,3.0643
0.94,0.55,0.39,0.6,0.1,5,2.21333,14,3,2.4972,12.825,2.2133,2.4972
0.94,0.55,0.39,0.6,0.2,3,1.72497,9,2,1.92024,11.321,1.725,1.9202
0.94,0.55,0.39,0.6,0.35,2,1.37304,6,1,1.50181,9.379,1.373,1.5018
0.94,0.65,0.29,0.05,0.05,5,2.16629,19,5,2.18451,0.841,2.1663,2.1845
0.94,0.65,0.29,0.05,0.1,4,1.84371,14,3,1.85845,0.8,1.8437,1.8585
0.94,0.65,0.29,0.05,0.2,2,1.50031,9,2,1.51528,0.998,1.5003,1.5153
0.94,0.65,0.29,0.05,0.35,2,1.23555,6,1,1.2442,0.7,1.2356,1.2442
0.94,0.65,0.29,0.1,0.05,5,2.22197,19,5,2.26065,1.741,2.222,2.2607
0.94,0.65,0.29,0.1,0.1,4,1.88518,14,3,1.91463,1.562,1.8852,1.9146
0.94,0.65,0.29,0.1,0.2,3,1.52137,9,2,1.55189,2.006,1.5214,1.5519
0.94,0.65,0.29,0.1,0.35,2,1.25243,6,1,1.26698,1.162,1.2524,1.267
0.94,0.65,0.29,0.2,0.05,5,2.34238,19,5,2.43006,3.743,2.3424,2.4301
0.94,0.65,0.29,0.2,0.1,4,1.97399,14,3,2.03782,3.233,1.974,2.0378
0.94,0.65,0.29,0.2,0.2,3,1.57998,9,2,1.6307,3.21,1.58,1.6307
0.94,0.65,0.29,0.2,0.35,2,1.28762,6,1,1.31515,2.138,1.2876,1.3151
0.94,0.65,0.29,0.35,0.05,6,2.57296,19,5,2.7378,6.407,2.573,2.7378
0.94,0.65,0.29,0.35,0.1,5,2.12469,14,3,2.2555,6.156,2.1247,2.2555
0.94,0.65,0.29,0.35,0.2,3,1.67688,9,2,1.76515,5.263,1.6769,1.7651
0.94,0.65,0.29,0.35,0.35,2,1.34427,6,1,1.39468,3.749,1.3443,1.3947
0.94,0.65,0.29,0.5,0.05,7,2.87557,19,5,3.13479,9.015,2.8756,3.1348
0.94,0.65,0.29,0.5,0.1,5,2.33093,14,3,2.52525,8.336,2.3309,2.5253
0.94,0.65,0.29,0.5,0.2,4,1.78801,9,2,1.92375,7.592,1.788,1.9238
0.94,0.65,0.29,0.5,0.35,2,1.40614,6,1,1.48444,5.568,1.4061,1.4844
0.94,0.65,0.29,0.6,0.05,8,3.14291,19,5,3.47026,10.416,3.1429,3.4703
0.94,0.65,0.29,0.6,0.1,6,2.50372,14,3,2.74404,9.598,2.5037,2.744
0.94,0.65,0.29,0.6,0.2,4,1.8918,9,2,2.04634,8.169,1.8918,2.0463
0.94,0.65,0.29,0.6,0.35,3,1.4578,6,1,1.55099,6.392,1.4578,1.551
0.94,0.75,0.19,0.05,0.05,7,2.72726,19,7,2.74322,0.585,2.7273,2.7432
0.94,0.75,0.19,0.05,0.1,5,2.23268,14,5,2.24573,0.585,2.2327,2.2457
0.94,0.75,0.19,0.05,0.2,3,1.73077,9,3,1.74188,0.642,1.7308,1.7419
0.94,0.75,0.19,0.05,0.35,2,1.37272,6,2,1.37962,0.503,1.3727,1.3796
0.94,0.75,0.19,0.1,0.05,7,2.79105,19,7,2.82467,1.205,2.791,2.8247
0.94,0.75,0.19,0.1,0.1,5,2.27483,14,5,2.3021,1.199,2.2748,2.3021
0.94,0.75,0.19,0.1,0.2,3,1.75311,9,3,1.77607,1.31,1.7531,1.7761
0.94,0.75,0.19,0.1,0.35,2,1.38537,6,2,1.39951,1.021,1.3854,1.3995
0.94,0.75,0.19,0.2,0.05,7,2.928,19,7,3.003,2.562,2.928,3.003
0.94,0.75,0.19,0.2,0.1,5,2.3641,14,5,2.42377,2.524,2.3641,2.4238
0.94,0.75,0.19,0.2,0.2,4,1.80772,9,3,1.84864,2.264,1.8077,1.8486
0.94,0.75,0.19,0.2,0.35,2,1.41139,6,2,1.44106,2.102,1.4114,1.4411
0.94,0.75,0.19,0.35,0.05,8,3.17642,19,7,3.31713,4.43,3.1764,3.3171
0.94,0.75,0.19,0.35,0.1,6,2.52757,14,5,2.63247,4.15,2.5276,2.6325
0.94,0.75,0.19,0.35,0.2,4,1.90272,9,3,1.96934,3.501,1.9027,1.9693
0.94,0.75,0.19,0.35,0.35,3,1.46271,6,2,1.50822,3.112,1.4627,1.5082
0.94,0.75,0.19,0.5,0.05,9,3.49226,19,7,3.70466,6.082,3.4923,3.7047
0.94,0.75,0.19,0.5,0.1,7,2.72654,14,5,2.8805,5.647,2.7265,2.8805
0.94,0.75,0.19,0.5,0.2,5,2.00966,9,3,2.1069,4.838,2.0097,2.1069
0.94,0.75,0.19,0.5,0.35,3,1.52588,6,2,1.58195,3.674,1.5259,1.582
0.94,0.75,0.19,0.6,0.05,10,3.75951,19,7,4.01757,6.864,3.7595,4.0176
0.94,0.75,0.19,0.6,0.1,7,2.893,14,5,3.07356,6.241,2.893,3.0736
0.94,0.75,0.19,0.6,0.2,5,2.10321,9,3,2.2098,5.068,2.1032,2.2098
0.94,0.75,0.19,0.6,0.35,3,1.57113,6,2,1.63524,4.081,1.5711,1.6352
0.97,0.55,0.42,0.05,0.05,4,1.80855,29,4,1.83042,1.209,1.8086,1.8304
0.97,0.55,0.42,0.05,0.1,3,1.59052,21,3,1.60966,1.204,1.5905,1.6097
0.97,0.55,0.42,0.05,0.2,2,1.34772,14,2,1.36334,1.16,1.3477,1.3633
0.97,0.55,0.42,0.05,0.35,1,1.16052,9,1,1.17491,1.24,1.1605,1.1749
0.97,0.55,0.42,0.1,0.05,4,1.86137,29,4,1.9083,2.521,1.8614,1.9083
0.97,0.55,0.42,0.1,0.1,3,1.62991,21,3,1.67064,2.499,1.6299,1.6706
0.97,0.55,0.42,0.1,0.2,2,1.37314,14,2,1.40598,2.392,1.3731,1.406
0.97,0.55,0.42,0.1,0.35,1,1.17316,9,1,1.20296,2.54,1.1732,1.203
0.97,0.55,0.42,0.2,0.05,4,1.97682,29,4,2.08579,5.512,1.9768,2.0858
0.97,0.55,0.42,0.2,0.1,3,1.71486,21,3,1.80758,5.407,1.7149,1.8076
0.97,0.55,0.42,0.2,0.2,2,1.42698,14,2,1.4998,5.103,1.427,1.4998
0.97,0.55,0.42,0.2,0.35,1,1.19929,9,1,1.26326,5.334,1.1993,1.2633
0.97,0.55,0.42,0.35,0.05,5,2.19967,29,4,2.42396,10.196,2.1997,2.424
0.97,0.55,0.42,0.35,0.1,4,1.86825,21,3,2.06099,10.317,1.8682,2.061
0.97,0.55,0.42,0.35,0.2,2,1.51616,14,2,1.66661,9.923,1.5162,1.6666
0.97,0.55,0.42,0.35,0.35,2,1.2486,9,1,1.36597,9.4,1.2486,1.366
0.97,0.55,0.42,0.5,0.05,6,2.50894,29,4,2.893,15.308,2.5089,2.893
0.97,0.55,0.42,0.5,0.1,4,2.08182,21,3,2.39704,15.142,2.0818,2.397
0.97,0.55,0.42,0.5,0.2,3,1.65156,14,2,1.87516,13.539,1.6516,1.8752
0.97,0.55,0.42,0.5,0.35,2,1.33183,9,1,1.48686,11.64,1.3318,1.4869
0.97,0.55,0.42,0.6,0.05,7,2.79784,29,4,3.32148,18.716,2.7978,3.3215
0.97,0.55,0.42,0.6,0.1,5,2.27616,21,3,2.68938,18.154,2.2762,2.6894
0.97,0.55,0.42,0.6,0.2,3,1.76031,14,2,2.04584,16.22,1.7603,2.0458
0.97,0.55,0.42,0.6,0.35,2,1.39377,9,1,1.58009,13.368,1.3938,1.5801
0.97,0.65,0.32,0.05,0.05,5,2.17036,29,5,2.1946,1.117,2.1704,2.1946
0.97,0.65,0.32,0.05,0.1,4,1.84684,21,3,1.86672,1.077,1.8468,1.8667
0.97,0.65,0.32,0.05,0.2,2,1.50199,14,2,1.52142,1.294,1.502,1.5214
0.97,0.65,0.32,0.05,0.35,2,1.23693,9,1,1.24847,0.933,1.2369,1.2485
0.97,0.65,0.32,0.1,0.05,5,2.23055,29,5,2.28238,2.324,2.2306,2.2824
0.97,0.65,0.32,0.1,0.1,4,1.89173,21,3,1.93227,2.143,1.8917,1.9323
0.97,0.65,0.32,0.1,0.2,3,1.52587,14,2,1.56483,2.553,1.5259,1.5648
0.97,0.65,0.32,0.1,0.35,2,1.25527,9,1,1.27587,1.641,1.2553,1.2759
0.97,0.65,0.32,0.2,0.05,6,2.36191,29,5,2.48083,5.035,2.3619,2.4808
0.97,0.65,0.32,0.2,0.1,4,1.9884,21,3,2.07821,4.516,1.9884,2.0782
0.97,0.65,0.32,0.2,0.2,3,1.58973,14,2,1.65954,4.391,1.5897,1.6595
0.97,0.65,0.32,0.2,0.35,2,1.29364,9,1,1.33445,3.155,1.2936,1.3344
0.97,0.65,0.32,0.35,0.05,6,2.61723,29,5,2.85291,9.005,2.6172,2.8529
0.97,0.65,0.32,0.35,0.1,5,2.15805,21,3,2.34374,8.605,2.158,2.3437
0.97,0.65,0.32,0.35,0.2,3,1.69619,14,2,1.82523,7.607,1.6962,1.8252
