mix,a_prose,gap,a_tool,a_mixed,drift,sess_spread,r,k_star_fixed,k_map,ntps_fixed,ntps_adapt_ideal,ntps_adapt,ntps_adapt_std,ntps_k1,fixed_captured_frac,ideal_gain_pct,gain_pct,p_err,s
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.05,3,4;3;3,1.5989,1.5997,1.5163,0.0063,1.4143,0.9958,0.049,-5.162,0.15,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4373,0.0,1.35,0.9736,0.161,0.161,0.0,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4086,0.0,1.35,0.9736,0.161,-1.842,0.0,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.3654,0.0,1.35,0.9736,0.161,-4.847,0.0,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4368,0.0009,1.35,0.9736,0.161,0.129,0.05,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4086,0.0,1.35,0.9736,0.161,-1.842,0.05,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.3654,0.0,1.35,0.9736,0.161,-4.847,0.05,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4368,0.0009,1.35,0.9736,0.161,0.129,0.15,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.4081,0.0009,1.35,0.9736,0.161,-1.874,0.15,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.1,2,3;2;2,1.435,1.4373,1.3613,0.0073,1.35,0.9736,0.161,-5.139,0.15,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2454,0.0,1.2375,0.0,0.637,0.637,0.0,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2205,0.0,1.2375,0.0,0.637,-1.375,0.0,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.1831,0.0,1.2375,0.0,0.637,-4.395,0.0,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2438,0.0032,1.2375,0.0,0.637,0.51,0.05,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2189,0.0031,1.2375,0.0,0.637,-1.5,0.05,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.1831,0.0,1.2375,0.0,0.637,-4.395,0.05,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2454,0.0,1.2375,0.0,0.637,0.637,0.15,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.2189,0.0031,1.2375,0.0,0.637,-1.5,0.15,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.2,1,2;1;1,1.2375,1.2454,1.1831,0.0,1.2375,0.0,0.637,-4.395,0.15,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0607,0.0,1.0607,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0395,0.0,1.0607,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0077,0.0,1.0607,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0607,0.0,1.0607,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0395,0.0,1.0607,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0077,0.0,1.0607,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0607,0.0,1.0607,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0395,0.0,1.0607,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,-0.1,0.45,0.5,0.1,0.1,0.4,1,1;1;1,1.0607,1.0607,1.0077,0.0,1.0607,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7587,0.0,1.4762,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7235,0.0,1.4762,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.6707,0.0,1.4762,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7587,0.0,1.4762,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7235,0.0,1.4762,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.6707,0.0,1.4762,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7587,0.0,1.4762,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.7235,0.0,1.4762,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.05,4,4;4;4,1.7587,1.7587,1.6707,0.0,1.4762,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.553,0.0,1.4091,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.5219,0.0,1.4091,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.4753,0.0,1.4091,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.553,0.0,1.4091,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.5219,0.0,1.4091,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.4753,0.0,1.4091,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.553,0.0,1.4091,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.5219,0.0,1.4091,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.1,3,3;3;3,1.553,1.553,1.4753,0.0,1.4091,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.3232,0.0,1.2917,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2968,0.0,1.2917,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2571,0.0,1.2917,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.3232,0.0,1.2917,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2968,0.0,1.2917,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2571,0.0,1.2917,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.3232,0.0,1.2917,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2968,0.0,1.2917,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.2,2,2;2;2,1.3232,1.3232,1.2571,0.0,1.2917,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.1071,0.0,1.1071,1.0,0.0,0.0,0.0,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.085,0.0,1.1071,1.0,0.0,-2.0,0.0,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.0518,0.0,1.1071,1.0,0.0,-5.0,0.0,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.1071,0.0,1.1071,1.0,0.0,0.0,0.05,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.085,0.0,1.1071,1.0,0.0,-2.0,0.05,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.0518,0.0,1.1071,1.0,0.0,-5.0,0.05,0.05
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.1071,0.0,1.1071,1.0,0.0,0.0,0.15,0.0
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.085,0.0,1.1071,1.0,0.0,-2.0,0.15,0.02
realistic_deep,0.55,0.0,0.55,0.55,0.0,0.0,0.4,1,1;1;1,1.1071,1.1071,1.0518,0.0,1.1071,1.0,0.0,-5.0,0.15,0.05
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9863,0.0,1.5381,0.9894,0.24,0.24,0.0,0.0
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9465,0.0,1.5381,0.9894,0.24,-1.765,0.0,0.02
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.8869,0.0,1.5381,0.9894,0.24,-4.772,0.0,0.05
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9863,0.0,1.5381,0.9894,0.24,0.24,0.05,0.0
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9465,0.0,1.5381,0.9894,0.24,-1.765,0.05,0.02
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.8851,0.0022,1.5381,0.9894,0.24,-4.863,0.05,0.05
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9829,0.0048,1.5381,0.9894,0.24,0.068,0.15,0.0
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.9441,0.0031,1.5381,0.9894,0.24,-1.888,0.15,0.02
realistic_deep,0.55,0.1,0.65,0.6,0.1,0.1,0.05,4,4;5;4,1.9815,1.9863,1.8837,0.0018,1.5381,0.9894,0.24,-4.937,0.15,0.05
