seed,frac,t_qterms,L,rank,answer_score,top_distractor_score,qterm_idf_mean,dist_lennorm_mean,answer_len,n_templated_distractors
6,1.0,1,32,1,30.259414,25.425310,4.060443,1.468304,50,30
6,1.0,1,64,1,30.344918,23.398435,4.060443,1.927786,50,30
6,1.0,1,128,1,30.512607,20.534136,4.060443,2.821263,50,30
6,1.0,1,256,1,30.835302,17.339756,4.060443,4.512630,50,30
6,1.0,1,512,1,31.434240,14.532804,4.060443,7.557559,50,30
6,0.5,2,0,1,30.535520,25.851888,4.503945,1.000000,50,15
6,0.5,2,4,2,29.863839,32.115823,4.203689,1.059514,50,15
6,0.5,2,8,2,29.869199,33.524190,4.203689,1.118957,50,15
6,0.5,2,16,2,29.879907,34.124621,4.203689,1.237630,50,15
6,0.5,2,32,2,29.901271,33.647253,4.203689,1.474124,50,15
6,0.5,2,64,2,29.943785,31.976239,4.203689,1.943740,50,15
6,0.5,2,128,1,30.027975,29.266750,4.203689,2.869702,50,15
6,0.5,2,256,1,30.193079,26.102710,4.203689,4.670262,50,15
6,0.5,2,512,1,30.510767,25.460501,4.203689,8.078752,50,15
6,1.0,2,0,1,30.535520,25.851888,4.503945,1.000000,50,30
6,1.0,2,4,2,29.560173,31.716308,4.060443,1.059029,50,30
6,1.0,2,8,2,29.570743,33.053240,4.060443,1.117917,50,30
6,1.0,2,16,2,29.591829,33.608467,4.060443,1.235271,50,30
6,1.0,2,32,2,29.633792,33.115806,4.060443,1.468304,50,30
6,1.0,2,64,2,29.716889,31.462593,4.060443,1.927786,50,30
6,1.0,2,128,1,29.879846,28.809175,4.060443,2.821263,50,30
6,1.0,2,256,1,30.193384,25.736568,4.060443,4.512630,50,30
6,1.0,2,512,1,30.775151,23.011684,4.060443,7.557559,50,30
7,0.5,1,0,3,24.247234,26.252268,4.798042,1.000000,50,15
7,0.5,1,4,5,24.251702,32.944682,4.444402,1.059514,50,15
7,0.5,1,8,5,24.256166,33.353022,4.444402,1.118957,50,15
7,0.5,1,16,5,24.265083,32.907050,4.444402,1.237630,50,15
7,0.5,1,32,3,24.282874,31.421231,4.444402,1.474124,50,15
7,0.5,1,64,2,24.318282,28.707745,4.444402,1.943740,50,15
7,0.5,1,128,2,24.388409,24.861226,4.444402,2.869702,50,15
7,0.5,1,256,1,24.525971,22.865005,4.444402,4.670262,50,15
7,0.5,1,512,1,24.790800,23.134268,4.444402,8.078752,50,15
7,1.0,1,0,3,24.247234,26.252268,4.798042,1.000000,50,30
7,1.0,1,4,9,24.256166,32.309000,4.060443,1.059029,50,30
7,1.0,1,8,9,24.265083,32.640069,4.060443,1.117917,50,30
7,1.0,1,16,7,24.282874,32.154889,4.060443,1.235271,50,30
7,1.0,1,32,6,24.318282,30.663652,4.060443,1.468304,50,30
7,1.0,1,64,3,24.388409,27.980772,4.060443,1.927786,50,30
7,1.0,1,128,1,24.525971,24.208056,4.060443,2.821263,50,30
7,1.0,1,256,1,24.790800,20.009170,4.060443,4.512630,50,30
7,1.0,1,512,1,25.282724,16.321389,4.060443,7.557559,50,30
7,0.5,2,0,3,24.247234,26.252268,4.862648,1.000000,50,15
7,0.5,2,4,7,23.812227,32.311798,4.445308,1.059514,50,15
7,0.5,2,8,8,23.816584,33.814480,4.445308,1.118957,50,15
7,0.5,2,16,8,23.825286,34.505239,4.445308,1.237630,50,15
7,0.5,2,32,8,23.842647,34.115103,4.445308,1.474124,50,15
7,0.5,2,64,8,23.877200,32.537298,4.445308,1.943740,50,15
7,0.5,2,128,8,23.945630,29.932274,4.445308,2.869702,50,15
7,0.5,2,256,6,24.079855,26.875119,4.445308,4.670262,50,15
7,0.5,2,512,1,24.338229,24.145709,4.445308,8.078752,50,15
7,1.0,2,0,3,24.247234,26.252268,4.862648,1.000000,50,30
7,1.0,2,4,10,23.448679,31.242652,4.090303,1.059029,50,30
7,1.0,2,8,12,23.457201,32.599378,4.090303,1.117917,50,30
7,1.0,2,16,12,23.474203,33.184348,4.090303,1.235271,50,30
7,1.0,2,32,12,23.508039,32.736966,4.090303,1.468304,50,30
7,1.0,2,64,12,23.575049,31.150822,4.090303,1.927786,50,30
7,1.0,2,128,9,23.706482,28.585922,4.090303,2.821263,50,30
7,1.0,2,256,5,23.959452,25.609786,4.090303,4.512630,50,30
7,1.0,2,512,1,24.429137,22.969181,4.090303,7.557559,50,30
8,0.5,1,0,1,28.644502,25.812780,4.798042,1.000000,50,15
8,0.5,1,4,1,28.254647,26.788380,4.402729,1.059514,50,15
8,0.5,1,8,1,28.260101,26.934275,4.402729,1.118957,50,15
8,0.5,1,16,1,28.270995,26.591000,4.402729,1.237630,50,15
8,0.5,1,32,1,28.292730,25.617499,4.402729,1.474124,50,15
8,0.5,1,64,1,28.335994,25.651682,4.402729,1.943740,50,15
8,0.5,1,128,1,28.421701,25.719349,4.402729,2.869702,50,15
8,0.5,1,256,1,28.589906,25.851957,4.402729,4.670262,50,15
8,0.5,1,512,1,28.914033,26.106768,4.402729,8.078752,50,15
8,1.0,1,0,1,28.644502,25.812780,4.798042,1.000000,50,30
8,1.0,1,4,2,27.889059,31.760507,4.031870,1.059029,50,30
8,1.0,1,8,2,27.899772,32.096037,4.031870,1.117917,50,30
8,1.0,1,16,2,27.921144,31.626984,4.031870,1.235271,50,30
8,1.0,1,32,2,27.963686,30.168662,4.031870,1.468304,50,30
8,1.0,1,64,1,28.047961,27.540353,4.031870,1.927786,50,30
8,1.0,1,128,1,28.213350,23.842666,4.031870,2.821263,50,30
8,1.0,1,256,1,28.532028,19.726713,4.031870,4.512630,50,30
8,1.0,1,512,1,29.124953,16.111642,4.031870,7.557559,50,30
8,0.5,2,0,1,28.644502,25.812780,4.714515,1.000000,50,15
8,0.5,2,4,2,27.870776,31.845264,4.324970,1.059514,50,15
8,0.5,2,8,2,27.876136,33.299170,4.324970,1.118957,50,15
8,0.5,2,16,7,27.886842,33.955192,4.324970,1.237630,50,15
8,0.5,2,32,7,27.908202,33.546822,4.324970,1.474124,50,15
8,0.5,2,64,2,27.950718,31.965563,4.324970,1.943740,50,15
8,0.5,2,128,2,28.034943,29.367983,4.324970,2.869702,50,15
8,0.5,2,256,1,28.200234,26.323694,4.324970,4.670262,50,15
8,0.5,2,512,1,28.518722,25.624406,4.324970,8.078752,50,15
8,1.0,2,0,1,28.644502,25.812780,4.714515,1.000000,50,30
8,1.0,2,4,4,27.377983,31.101970,4.076016,1.059029,50,30
8,1.0,2,8,4,27.388445,32.452222,4.076016,1.117917,50,30
8,1.0,2,16,4,27.409319,33.035279,4.076016,1.235271,50,30
8,1.0,2,32,4,27.450865,32.591444,4.076016,1.468304,50,30
8,1.0,2,64,4,27.533168,31.014666,4.076016,1.927786,50,30
8,1.0,2,128,3,27.694677,28.464122,4.076016,2.821263,50,30
8,1.0,2,256,1,28.005850,25.504376,4.076016,4.512630,50,30
8,1.0,2,512,1,28.584700,22.878257,4.076016,7.557559,50,30
9,0.5,1,0,1,29.433376,25.070652,4.630988,1.000000,50,15
9,0.5,1,4,1,29.016850,25.976344,4.324258,1.059514,50,15
9,0.5,1,8,1,29.022074,26.126779,4.324258,1.118957,50,15
9,0.5,1,16,1,29.032509,25.878080,4.324258,1.237630,50,15
9,0.5,1,32,1,29.053326,24.894709,4.324258,1.474124,50,15
9,0.5,1,64,1,29.094755,24.714994,4.324258,1.943740,50,15
9,0.5,1,128,1,29.176797,24.780190,4.324258,2.869702,50,15
9,0.5,1,256,1,29.337694,24.907956,4.324258,4.670262,50,15
9,0.5,1,512,1,29.647305,25.153463,4.324258,8.078752,50,15
9,1.0,1,0,1,29.433376,25.070652,4.630988,1.000000,50,30
9,1.0,1,4,1,28.699665,25.723023,4.089857,1.059029,50,30
9,1.0,1,8,1,28.709991,25.844455,4.089857,1.117917,50,30
9,1.0,1,16,1,28.730592,25.499810,4.089857,1.235271,50,30
9,1.0,1,32,1,28.771590,24.463546,4.089857,1.468304,50,30
9,1.0,1,64,1,28.852779,22.568476,4.089857,1.927786,50,30
9,1.0,1,128,1,29.012006,19.882404,4.089857,2.821263,50,30
9,1.0,1,256,1,29.318406,16.883987,4.089857,4.512630,50,30
9,1.0,1,512,1,29.887071,14.248616,4.089857,7.557559,50,30
9,0.5,2,0,1,29.433376,25.070652,4.496856,1.000000,50,15
9,0.5,2,4,3,28.945675,31.271546,4.293202,1.059514,50,15
9,0.5,2,8,3,28.950873,32.710000,4.293202,1.118957,50,15
9,0.5,2,16,3,28.961256,33.369198,4.293202,1.237630,50,15
9,0.5,2,32,3,28.981971,32.986772,4.293202,1.474124,50,15
9,0.5,2,64,3,29.023195,31.457129,4.293202,1.943740,50,15
9,0.5,2,128,1,29.104832,28.934245,4.293202,2.869702,50,15
9,0.5,2,256,1,29.264928,25.974197,4.293202,4.670262,50,15
9,0.5,2,512,1,29.572983,24.836717,4.293202,8.078752,50,15
9,1.0,2,0,1,29.433376,25.070652,4.496856,1.000000,50,30
9,1.0,2,4,4,28.368648,30.550042,4.060863,1.059029,50,30
9,1.0,2,8,4,28.378812,31.907004,4.060863,1.117917,50,30
9,1.0,2,16,4,28.399090,32.506330,4.060863,1.235271,50,30
9,1.0,2,32,4,28.439444,32.094835,4.060863,1.468304,50,30
9,1.0,2,64,4,28.519356,30.572079,4.060863,1.927786,50,30
9,1.0,2,128,1,28.676069,28.096225,4.060863,2.821263,50,30
9,1.0,2,256,1,28.977609,25.219232,4.060863,4.512630,50,30
9,1.0,2,512,1,29.537157,22.665710,4.060863,7.557559,50,30
10,0.5,1,0,1,31.847585,25.793832,4.402729,1.000000,50,15
10,0.5,1,4,2,31.507341,32.161026,4.151415,1.059514,50,15
10,0.5,1,8,2,31.512650,32.512825,4.151415,1.118957,50,15
10,0.5,1,16,2,31.523255,32.040743,4.151415,1.237630,50,15
10,0.5,1,32,1,31.544409,30.554758,4.151415,1.474124,50,15
10,0.5,1,64,1,31.586500,27.863428,4.151415,1.943740,50,15
10,0.5,1,128,1,31.669823,24.056529,4.151415,2.869702,50,15
10,0.5,1,256,1,31.833111,23.378251,4.151415,4.670262,50,15
10,0.5,1,512,1,32.146875,23.632102,4.151415,8.078752,50,15
10,1.0,1,0,1,31.847585,25.793832,4.402729,1.000000,50,30
10,1.0,1,4,2,31.236635,31.831249,3.950744,1.059029,50,30
10,1.0,1,8,2,31.247146,32.145018,3.950744,1.117917,50,30
10,1.0,1,16,2,31.268115,31.657305,3.950744,1.235271,50,30
10,1.0,1,32,1,31.309838,30.178769,3.950744,1.468304,50,30
10,1.0,1,64,1,31.392431,27.524456,3.950744,1.927786,50,30
10,1.0,1,128,1,31.554289,23.794015,3.950744,2.821263,50,30
10,1.0,1,256,1,31.865305,19.642883,3.950744,4.512630,50,30
10,1.0,1,512,1,32.440954,15.997199,3.950744,7.557559,50,30
10,0.5,2,0,1,31.847585,25.793832,4.700721,1.000000,50,15
10,0.5,2,4,1,30.911725,29.899625,4.358513,1.059514,50,15
10,0.5,2,8,3,30.916933,31.407527,4.358513,1.118957,50,15
10,0.5,2,16,3,30.927337,32.105170,4.358513,1.237630,50,15
10,0.5,2,32,3,30.948092,31.751818,4.358513,1.474124,50,15
