M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,50,exponential,0.5,4,stepaware,0.18869,0.18869,0.00000,0.75475,6,39,367
4,4,8,50,exponential,0.9,0,serial,0.16425,0.29494,0.13069,0.65700,9,78,327
4,4,8,50,exponential,0.9,0,cb,0.18706,0.18706,0.00000,0.74825,5,43,376
4,4,8,50,exponential,0.9,0,stepaware,0.18706,0.18706,0.00000,0.74825,5,43,376
4,4,8,50,exponential,0.9,1,serial,0.21475,0.51950,0.30475,0.85900,14,75,469
4,4,8,50,exponential,0.9,1,cb,0.31662,0.31662,0.00000,1.26650,4,37,716
4,4,8,50,exponential,0.9,1,stepaware,0.31662,0.31662,0.00000,1.26650,4,37,716
4,4,8,50,exponential,0.9,2,serial,0.17438,0.31612,0.14175,0.69750,11,53,366
4,4,8,50,exponential,0.9,2,cb,0.20119,0.20119,0.00000,0.80475,5,37,421
4,4,8,50,exponential,0.9,2,stepaware,0.20119,0.20119,0.00000,0.80475,5,37,421
4,4,8,50,exponential,0.9,3,serial,0.12012,0.18638,0.06625,0.48050,8,53,243
4,4,8,50,exponential,0.9,3,cb,0.13031,0.13031,0.00000,0.52125,6,36,263
4,4,8,50,exponential,0.9,3,stepaware,0.13031,0.13031,0.00000,0.52125,6,36,263
4,4,8,50,exponential,0.9,4,serial,0.08994,0.11569,0.02575,0.35975,6,38,205
4,4,8,50,exponential,0.9,4,cb,0.09312,0.09312,0.00000,0.37250,5,34,211
4,4,8,50,exponential,0.9,4,stepaware,0.09312,0.09312,0.00000,0.37250,5,34,211
4,4,8,50,lognormal-heavytail,0.0,0,serial,0.12487,0.19094,0.06606,0.49950,9,49,245
4,4,8,50,lognormal-heavytail,0.0,0,cb,0.13269,0.13269,0.00000,0.53075,5,36,265
4,4,8,50,lognormal-heavytail,0.0,0,stepaware,0.13269,0.13269,0.00000,0.53075,5,36,265
4,4,8,50,lognormal-heavytail,0.0,1,serial,0.14281,0.23744,0.09462,0.57125,8,50,303
