seed,frac_missing,model,encoder,n_overlap,r2_ctrl,r2_seam,dR2,code_diff_frac
11,0.2,hgb,astype,32,0.7610911594987049,-0.14239204905484204,0.9034832085535469,0.75
0,0.4,hgb,astype,15,0.7315644207827354,-0.026859388738256662,0.7584238095209921,0.7333333333333333
1,0.4,hgb,astype,18,0.6959125100052566,-0.9603174036872153,1.6562299136924719,0.8333333333333334
2,0.4,hgb,astype,20,0.8000075751424147,-0.546223201351627,1.3462307764940418,0.8
3,0.4,hgb,astype,17,0.742448105319105,-0.8403214256335587,1.5827695309526637,0.8235294117647058
4,0.4,hgb,astype,19,0.7747759574726982,-0.39225437251421513,1.1670303299869134,0.8421052631578947
5,0.4,hgb,astype,18,0.7719049460969337,-0.6596796118142836,1.4315845579112172,0.6111111111111112
6,0.4,hgb,astype,17,0.7260308461359881,-1.7247041650101447,2.450735011146133,0.7647058823529411
7,0.4,hgb,astype,19,0.6862380044663479,-0.6755482384804987,1.3617862429468466,0.8421052631578947
8,0.4,hgb,astype,19,0.8098932049274629,-1.0020583052789478,1.8119515102064105,0.6842105263157895
9,0.4,hgb,astype,22,0.7307764058599403,-0.7751668666671658,1.505943272527106,0.6818181818181818
10,0.4,hgb,astype,18,0.6220412948486678,-0.038446230034999695,0.6604875248836675,0.6111111111111112
11,0.4,hgb,astype,18,0.7430759136482413,-0.5009812259455544,1.2440571395937958,0.6666666666666666
0,0.6,hgb,astype,8,0.790999681323924,0.08212024985727862,0.7088794314666453,0.625
1,0.6,hgb,astype,10,0.769239698836946,-1.133562896749679,1.9028025955866248,0.7
2,0.6,hgb,astype,9,0.6456527906761393,-0.5690250726263402,1.2146778633024795,0.4444444444444444
3,0.6,hgb,astype,5,0.6040986869898264,0.3045802122889082,0.2995184747009182,0.6
4,0.6,hgb,astype,8,0.7666741882078179,-0.11406010156696755,0.8807342897747854,0.75
5,0.6,hgb,astype,7,0.8202655276570083,-0.1405286284424112,0.9607941560994195,0.5714285714285714
6,0.6,hgb,astype,8,0.7380674188654817,-0.27395211967555033,1.012019538541032,0.75
7,0.6,hgb,astype,7,0.7806448512825648,-0.24792453308512608,1.0285693843676909,0.8571428571428571
8,0.6,hgb,astype,8,0.7033315750976745,-0.8769895940665593,1.5803211691642338,0.625
9,0.6,hgb,astype,10,0.5709397688007565,-1.3217859865607782,1.8927257553615346,0.9
10,0.6,hgb,astype,7,0.5968253921727353,0.11081497606467094,0.4860104161080644,0.8571428571428571
11,0.6,hgb,astype,7,0.7572339151341152,0.16975749193993928,0.5874764231941759,0.8571428571428571
0,0.0,hgb,dictencode,50,0.7721231527220318,0.7721231527220318,0.0,0.0
1,0.0,hgb,dictencode,50,0.7596171572064889,0.7596171572064889,0.0,0.0
2,0.0,hgb,dictencode,50,0.793820339553095,0.793820339553095,0.0,0.0
3,0.0,hgb,dictencode,50,0.8283723204632294,0.8283723204632294,0.0,0.0
4,0.0,hgb,dictencode,50,0.8064150610668976,0.8064150610668976,0.0,0.0
5,0.0,hgb,dictencode,50,0.744490925084352,0.744490925084352,0.0,0.0
6,0.0,hgb,dictencode,50,0.7957140164608794,0.7957140164608794,0.0,0.0
7,0.0,hgb,dictencode,50,0.7563045929403007,0.7563045929403007,0.0,0.0
8,0.0,hgb,dictencode,50,0.8308210710080447,0.8308210710080447,0.0,0.0
9,0.0,hgb,dictencode,50,0.8083646992457909,0.8083646992457909,0.0,0.0
10,0.0,hgb,dictencode,50,0.7149477927732873,0.7149477927732873,0.0,0.0
11,0.0,hgb,dictencode,50,0.7433938023686006,0.7433938023686006,0.0,0.0
0,0.1,hgb,dictencode,41,0.7741474506086201,0.12078444268302047,0.6533630079255996,0.5365853658536586
1,0.1,hgb,dictencode,40,0.7229194008087303,-0.20414593681113424,0.9270653376198645,0.675
2,0.1,hgb,dictencode,40,0.7777143526810818,-0.687200645426784,1.464914998107866,0.725
3,0.1,hgb,dictencode,40,0.7804298746811758,-0.6314963095870949,1.4119261842682707,0.85
4,0.1,hgb,dictencode,40,0.8223359314264196,-0.08736548779006825,0.9097014192164878,0.55
5,0.1,hgb,dictencode,41,0.7488130835337246,-0.6268035594215493,1.3756166429552739,0.8536585365853658
6,0.1,hgb,dictencode,40,0.8123651875597317,-0.31634029128987984,1.1287054788496116,0.8
7,0.1,hgb,dictencode,40,0.7599305777126735,-0.5583616837779297,1.3182922614906032,0.775
8,0.1,hgb,dictencode,40,0.8387226596498369,0.17023684805467942,0.6684858115951575,0.425
9,0.1,hgb,dictencode,41,0.757464793929439,-0.059472879636943254,0.8169376735663822,0.5365853658536586
10,0.1,hgb,dictencode,40,0.6958668940638174,0.6077325554864819,0.08813433857733555,0.125
11,0.1,hgb,dictencode,41,0.7499833648348729,-0.08304304323457701,0.8330264080694499,0.43902439024390244
0,0.2,hgb,dictencode,32,0.7881255461034097,-0.5106266277130485,1.298752173816458,0.9375
1,0.2,hgb,dictencode,32,0.722356018808078,-0.41553655355742447,1.1378925723655025,0.71875
