step,b_count,b_fraction
162,19,0.07421875
163,26,0.1015625
164,42,0.1640625
165,29,0.11328125
166,28,0.109375
167,21,0.08203125
168,24,0.09375
169,28,0.109375
170,36,0.140625
171,20,0.078125
172,15,0.05859375
173,18,0.0703125
174,19,0.07421875
175,22,0.0859375
176,26,0.1015625
177,26,0.1015625
178,22,0.0859375
179,33,0.12890625
180,26,0.1015625
181,31,0.12109375
182,23,0.08984375
183,25,0.09765625
184,29,0.11328125
185,30,0.1171875
186,13,0.05078125
187,28,0.109375
188,32,0.125
189,29,0.11328125
190,26,0.1015625
191,32,0.125
192,23,0.08984375
193,23,0.08984375
194,24,0.09375
195,35,0.13671875
196,17,0.06640625
197,28,0.109375
198,23,0.08984375
199,17,0.06640625
200,28,0.109375
201,18,0.0703125
202,32,0.125
203,28,0.109375
204,29,0.11328125
205,29,0.11328125
206,31,0.12109375
207,28,0.109375
208,30,0.1171875
209,30,0.1171875
210,23,0.08984375
211,28,0.109375
212,31,0.12109375
213,28,0.109375
214,25,0.09765625
215,24,0.09375
216,20,0.078125
217,21,0.08203125
218,26,0.1015625
219,22,0.0859375
220,24,0.09375
221,18,0.0703125
222,26,0.1015625
223,23,0.08984375
224,25,0.09765625
225,32,0.125
226,33,0.12890625
227,26,0.1015625
228,23,0.08984375
229,37,0.14453125
230,29,0.11328125
231,22,0.0859375
232,16,0.0625
233,29,0.11328125
234,34,0.1328125
235,34,0.1328125
236,32,0.125
237,19,0.07421875
238,32,0.125
239,23,0.08984375
240,18,0.0703125
241,18,0.0703125
242,28,0.109375
243,26,0.1015625
244,26,0.1015625
245,28,0.109375
246,24,0.09375
247,28,0.109375
248,26,0.1015625
249,25,0.09765625
250,29,0.11328125
251,25,0.09765625
252,11,0.04296875
253,16,0.0625
254,25,0.09765625
255,30,0.1171875
256,25,0.09765625
257,15,0.05859375
258,26,0.1015625
259,26,0.1015625
260,28,0.109375
261,20,0.078125
262,20,0.078125
263,19,0.07421875
264,24,0.09375
265,21,0.08203125
266,19,0.07421875
267,25,0.09765625
268,18,0.0703125
269,23,0.08984375
270,31,0.12109375
271,30,0.1171875
272,29,0.11328125
273,27,0.10546875
274,26,0.1015625
275,24,0.09375
276,35,0.13671875
277,23,0.08984375
278,23,0.08984375
279,31,0.12109375
280,24,0.09375
281,26,0.1015625
282,19,0.07421875
283,27,0.10546875
284,29,0.11328125
285,23,0.08984375
286,18,0.0703125
287,24,0.09375
288,24,0.09375
289,32,0.125
290,29,0.11328125
291,28,0.109375
292,34,0.1328125
293,22,0.0859375
294,30,0.1171875
295,32,0.125
296,27,0.10546875
297,23,0.08984375
298,23,0.08984375
299,22,0.0859375
300,23,0.08984375
301,32,0.125
302,24,0.09375
303,23,0.08984375
304,29,0.11328125
305,22,0.0859375
306,26,0.1015625
307,28,0.109375
308,22,0.0859375
309,23,0.08984375
310,20,0.078125
311,34,0.1328125
312,22,0.0859375
313,32,0.125
314,25,0.09765625
315,19,0.07421875
316,27,0.10546875
317,28,0.109375
318,20,0.078125
319,25,0.09765625
320,29,0.11328125
321,22,0.0859375
322,27,0.10546875
323,28,0.109375
324,27,0.10546875
325,31,0.12109375
326,25,0.09765625
327,22,0.0859375
328,34,0.1328125
329,24,0.09375
330,21,0.08203125
331,25,0.09765625
332,21,0.08203125
333,29,0.11328125
334,14,0.0546875
335,28,0.109375
336,32,0.125
337,29,0.11328125
338,20,0.078125
339,26,0.1015625
340,33,0.12890625
341,29,0.11328125
342,15,0.05859375
343,31,0.12109375
344,32,0.125
345,24,0.09375
346,26,0.1015625
347,26,0.1015625
348,37,0.14453125
349,29,0.11328125
350,31,0.12109375
351,29,0.11328125
352,21,0.08203125
353,21,0.08203125
354,19,0.07421875
355,24,0.09375
356,24,0.09375
357,29,0.11328125
358,25,0.09765625
359,26,0.1015625
360,29,0.11328125
361,29,0.11328125
362,18,0.0703125
363,25,0.09765625
364,31,0.12109375
365,21,0.08203125
366,15,0.05859375
367,25,0.09765625
368,23,0.08984375
369,28,0.109375
370,24,0.09375
371,28,0.109375
372,23,0.08984375
373,24,0.09375
374,25,0.09765625
375,29,0.11328125
376,21,0.08203125
377,25,0.09765625
378,24,0.09375
379,35,0.13671875
380,20,0.078125
381,25,0.09765625
382,31,0.12109375
383,27,0.10546875
384,21,0.08203125
385,26,0.1015625
386,31,0.12109375
387,26,0.1015625
388,31,0.12109375
389,27,0.10546875
390,27,0.10546875
391,23,0.08984375
392,24,0.09375
393,22,0.0859375
394,23,0.08984375
395,29,0.11328125
396,24,0.09375
397,22,0.0859375
398,20,0.078125
399,22,0.0859375
