frac,sigma,rho,seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,d_mon_diff,med_lead_mon,med_lead_conf,frac_mon_early,n_fail
0.2,0.8,0.6,0,0.6475,0.6529203976012486,0.6446233467510063,0.6436649415372819,0.789808045127194,0.008297050850242349,0.009255456063966716,2.0,2.0,0.3938223938223938,259
0.2,0.8,0.6,1,0.6675,0.7232125256962632,0.7033313621131481,0.6289600405508152,0.8191827884317535,0.01988116358311509,0.09425248514544793,3,2,0.36329588014981273,267
0.2,0.8,0.6,2,0.6125,0.6584331797235023,0.6959315339038842,0.6557472021066492,0.8138248847926267,-0.03749835418038183,0.0026859776168531857,3,1,0.3795918367346939,245
0.2,0.8,0.6,3,0.63,0.6807432432432432,0.6767481767481768,0.5958815958815958,0.798503861003861,0.003995066495066424,0.08486164736164736,3.0,2.0,0.3888888888888889,252
0.2,0.8,0.6,4,0.625,0.66968,0.70848,0.64224,0.82064,-0.038799999999999946,0.02744000000000002,2.0,2.0,0.396,250
0.2,0.8,0.6,5,0.6625,0.7110831586303284,0.7123689727463313,0.5976519916142558,0.8129699510831586,-0.0012858141160028147,0.1134311670160727,3,1,0.4,265
0.2,0.8,0.6,6,0.6675,0.6805215285404522,0.6876460814958745,0.5897609191518122,0.7982878544676297,-0.0071245529554222475,0.09076060938864006,2.0,2.0,0.32209737827715357,267
0.2,0.8,0.6,7,0.6625,0.669266247379455,0.6665828092243187,0.6136408106219426,0.8140880503144654,0.002683438155136275,0.0556254367575123,3,2.0,0.39622641509433965,265
0.5,0.3,0.0,0,0.6025,0.7077689918839218,0.7047678697252016,0.6447976199796446,0.8328505441164957,0.003001122158720282,0.06297137190427726,2.0,2,0.4107883817427386,241
0.5,0.3,0.0,1,0.545,0.7540830728904123,0.7403720133077931,0.6225930033269483,0.8612259300332695,0.0137110595826192,0.13149006956346398,2,2.0,0.4541284403669725,218
0.5,0.3,0.0,2,0.5575,0.6934711560386106,0.7335005447037065,0.6158445440956651,0.827772288515619,-0.040029388665095866,0.07762661194294551,2,2,0.4484304932735426,223
0.5,0.3,0.0,3,0.57,0.6948694410444717,0.7697368421052632,0.674469604243166,0.8395297837617299,-0.07486740106079148,0.020399836801305637,2.0,2.0,0.44298245614035087,228
0.5,0.3,0.0,4,0.5825,0.7419752769139832,0.7429775641849349,0.6024517488627894,0.8169412248464445,-0.0010022872709516406,0.13952352805119383,2.0,2.0,0.40772532188841204,233
0.5,0.3,0.0,5,0.6075,0.7530077848549186,0.7774894498178292,0.6077429163062568,0.8662944614820057,-0.0244816649629106,0.14526486854866183,2.0,1,0.3991769547325103,243
0.5,0.3,0.0,6,0.5575,0.7539966051024803,0.7672468394517494,0.6188087456613717,0.8699551569506726,-0.013250234349269085,0.13518785944110867,2.0,1,0.4439461883408072,223
0.5,0.3,0.0,7,0.585,0.7745597775718258,0.7540160642570282,0.6809545875810936,0.8468231901966842,0.02054371331479765,0.0936051899907322,2.0,1,0.4017094017094017,234
0.5,0.3,0.6,0,0.5825,0.7499164760607541,0.754696615352985,0.6405643648325666,0.8591400889208707,-0.004780139292230978,0.10935211122818744,2,1.0,0.3905579399141631,233
0.5,0.3,0.6,1,0.55,0.7711111111111111,0.7527272727272727,0.6854292929292929,0.8799747474747475,0.01838383838383839,0.08568181818181819,2,2.0,0.44545454545454544,220
0.5,0.3,0.6,2,0.6025,0.767582661342937,0.7520812129752864,0.6705811738302148,0.8708212636029123,0.01550144836765055,0.0970014875127222,2,1.0,0.36929460580912865,241
0.5,0.3,0.6,3,0.5725,0.7175872724022575,0.7059169028831176,0.6249138129165709,0.8289282157358462,0.011670369519139911,0.09267345948568662,2.0,2,0.4279475982532751,229
0.5,0.3,0.6,4,0.575,0.719693094629156,0.7226598465473146,0.6562404092071611,0.8363427109974425,-0.00296675191815865,0.06345268542199489,2,1,0.39565217391304347,230
0.5,0.3,0.6,5,0.5725,0.7376337495850251,0.7486656962639495,0.6699864654357874,0.8625092571311831,-0.011031946678924376,0.06764728414923771,2.0,1,0.4104803493449782,229
0.5,0.3,0.6,6,0.575,0.700537084398977,0.7213299232736573,0.6429411764705882,0.8397953964194373,-0.02079283887468031,0.057595907928388757,3.0,2,0.41739130434782606,230
0.5,0.3,0.6,7,0.57,0.7638718890248878,0.8012800897592819,0.6322674418604651,0.8976183190534476,-0.037408200734394104,0.13160444716442266,2.0,1,0.4166666666666667,228
0.5,0.8,0.0,0,0.57,0.7486485108119135,0.770578335373317,0.6101591187270502,0.8625050999592003,-0.021929824561403466,0.13848939208486333,2.0,2.0,0.40789473684210525,228
0.5,0.8,0.0,1,0.555,0.7544285858892601,0.7378024091507237,0.6746887336774977,0.8413554003441643,0.01662617673853639,0.07973985221176239,3.0,2.0,0.4594594594594595,222
0.5,0.8,0.0,2,0.5775,0.7721253105868491,0.7884935577243269,0.6192525423294654,0.8893158123927355,-0.016368247137477865,0.15287276825738372,2,1,0.3939393939393939,231
0.5,0.8,0.0,3,0.57,0.7724653202774378,0.7849602203182374,0.6578947368421053,0.8603376172990616,-0.012494900040799672,0.11457058343533244,2,1.0,0.3991228070175439,228
0.5,0.8,0.0,4,0.55,0.7151767676767676,0.7629292929292929,0.6010353535353535,0.8193434343434344,-0.04775252525252527,0.1141414141414141,3,2.0,0.4954545454545455,220
