source,tokenizer,delimiter_class,has_chat_template,prefix_tokens,result_tokens,total_blocks,invalid_blocks,block_churn_frac,ctrl_invalid_blocks,ctrl_churn_frac,tmpl_churn_frac,churn_minus_ctrl,has_churn,tok_diverge_frac,first_invalid_block
claude_code,gpt2,json_close_brace,False,1275,17,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1261,17,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1254,17,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1292,8,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1277,253,96,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1381,91,92,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1429,1316,172,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1178,34,76,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1192,100,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1237,87,83,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1212,43,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1206,44,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1215,47,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1216,32,78,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1276,3,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,alnum,False,1277,25,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,alnum,False,1294,296,100,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1457,1130,162,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1550,2721,267,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1472,468,122,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,alnum,False,1490,154,103,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1532,1676,201,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1178,894,130,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1189,606,113,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1118,1576,169,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1135,3925,317,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,2492,1852,272,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1280,2960,265,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1177,14,75,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1287,8,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1319,310,102,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1454,17,92,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1474,1687,198,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1470,106,99,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1505,3030,284,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1258,1163,152,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1218,53,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1235,34,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1230,34,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1233,320,98,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1165,381,97,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1299,12,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1361,11,86,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1374,16,87,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1403,2304,232,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1294,3,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1291,3,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1298,3,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1262,97,85,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1275,118,88,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1316,121,90,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1354,1739,194,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1523,1072,163,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1384,2010,213,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1327,1398,171,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1934,26,123,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1967,1859,240,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1380,27,88,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1378,689,130,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1365,278,103,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1468,208,105,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1547,235,112,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1571,3,99,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1575,25,100,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1595,2360,248,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1241,34,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1275,34,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1267,34,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1260,36,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1252,17,80,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1241,17,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1208,46,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1216,110,83,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1253,147,88,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1315,5297,414,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1259,2942,263,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1184,34,77,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1178,34,76,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1181,17,75,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1179,17,75,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1198,49,78,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1228,21,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,paren_close,False,1229,1398,165,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1430,1250,168,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1481,9777,704,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,2099,292,150,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1937,565,157,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1794,81,118,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1689,1148,178,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1649,40,106,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1391,52,91,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1262,767,127,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1400,175,99,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1360,140,94,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1380,45,90,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1408,66,93,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1422,77,94,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1276,41,83,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
