engine,seq_len,inj_seq,inj_tokens,f,seed,recompute_pct
vllm_apc,4000,0.05,200,0.9,2,14.1221
radix,4000,0.05,200,0.9,2,14.2857
flashinfer,4000,0.05,200,0.9,2,14.2857
cdc,4000,0.05,200,0.9,2,5.5
pic_lean,4000,0.05,200,0.9,2,11.8095
vllm_apc,4000,0.05,200,0.9,3,14.1221
radix,4000,0.05,200,0.9,3,14.2857
flashinfer,4000,0.05,200,0.9,3,14.2857
cdc,4000,0.05,200,0.9,3,5.0
pic_lean,4000,0.05,200,0.9,3,11.8095
vllm_apc,4000,0.05,200,0.9,4,14.1221
radix,4000,0.05,200,0.9,4,14.2857
flashinfer,4000,0.05,200,0.9,4,14.2857
cdc,4000,0.05,200,0.9,4,5.1429
pic_lean,4000,0.05,200,0.9,4,11.8095
vllm_apc,4000,0.1,400,0.1,0,90.9091
radix,4000,0.1,400,0.1,0,90.9091
flashinfer,4000,0.1,400,0.1,0,90.9091
cdc,4000,0.1,400,0.1,0,9.5455
pic_lean,4000,0.1,400,0.1,0,15.8182
vllm_apc,4000,0.1,400,0.1,1,90.9091
radix,4000,0.1,400,0.1,1,90.9091
flashinfer,4000,0.1,400,0.1,1,90.9091
cdc,4000,0.1,400,0.1,1,9.9091
pic_lean,4000,0.1,400,0.1,1,15.8182
vllm_apc,4000,0.1,400,0.1,2,90.9091
radix,4000,0.1,400,0.1,2,90.9091
flashinfer,4000,0.1,400,0.1,2,90.9091
cdc,4000,0.1,400,0.1,2,9.4773
pic_lean,4000,0.1,400,0.1,2,15.8182
vllm_apc,4000,0.1,400,0.1,3,90.9091
radix,4000,0.1,400,0.1,3,90.9091
flashinfer,4000,0.1,400,0.1,3,90.9091
cdc,4000,0.1,400,0.1,3,9.9545
pic_lean,4000,0.1,400,0.1,3,15.8182
vllm_apc,4000,0.1,400,0.1,4,90.9091
radix,4000,0.1,400,0.1,4,90.9091
flashinfer,4000,0.1,400,0.1,4,90.9091
cdc,4000,0.1,400,0.1,4,9.75
pic_lean,4000,0.1,400,0.1,4,15.8182
vllm_apc,4000,0.1,400,0.5,0,54.5455
radix,4000,0.1,400,0.5,0,54.5455
flashinfer,4000,0.1,400,0.5,0,54.5455
cdc,4000,0.1,400,0.5,0,9.8182
pic_lean,4000,0.1,400,0.5,0,15.8182
vllm_apc,4000,0.1,400,0.5,1,54.5455
radix,4000,0.1,400,0.5,1,54.5455
flashinfer,4000,0.1,400,0.5,1,54.5455
cdc,4000,0.1,400,0.5,1,9.2045
pic_lean,4000,0.1,400,0.5,1,15.8182
vllm_apc,4000,0.1,400,0.5,2,54.5455
radix,4000,0.1,400,0.5,2,54.5455
flashinfer,4000,0.1,400,0.5,2,54.5455
cdc,4000,0.1,400,0.5,2,9.5227
pic_lean,4000,0.1,400,0.5,2,15.8182
vllm_apc,4000,0.1,400,0.5,3,54.5455
radix,4000,0.1,400,0.5,3,54.5455
flashinfer,4000,0.1,400,0.5,3,54.5455
cdc,4000,0.1,400,0.5,3,9.2955
pic_lean,4000,0.1,400,0.5,3,15.8182
vllm_apc,4000,0.1,400,0.5,4,54.5455
radix,4000,0.1,400,0.5,4,54.5455
flashinfer,4000,0.1,400,0.5,4,54.5455
cdc,4000,0.1,400,0.5,4,10.2273
pic_lean,4000,0.1,400,0.5,4,15.8182
vllm_apc,4000,0.1,400,0.9,0,18.1818
radix,4000,0.1,400,0.9,0,18.1818
flashinfer,4000,0.1,400,0.9,0,18.1818
cdc,4000,0.1,400,0.9,0,9.2273
pic_lean,4000,0.1,400,0.9,0,15.8182
vllm_apc,4000,0.1,400,0.9,1,18.1818
radix,4000,0.1,400,0.9,1,18.1818
flashinfer,4000,0.1,400,0.9,1,18.1818
cdc,4000,0.1,400,0.9,1,9.9545
pic_lean,4000,0.1,400,0.9,1,15.8182
vllm_apc,4000,0.1,400,0.9,2,18.1818
radix,4000,0.1,400,0.9,2,18.1818
flashinfer,4000,0.1,400,0.9,2,18.1818
cdc,4000,0.1,400,0.9,2,9.5
pic_lean,4000,0.1,400,0.9,2,15.8182
vllm_apc,4000,0.1,400,0.9,3,18.1818
radix,4000,0.1,400,0.9,3,18.1818
flashinfer,4000,0.1,400,0.9,3,18.1818
cdc,4000,0.1,400,0.9,3,10.1591
pic_lean,4000,0.1,400,0.9,3,15.8182
vllm_apc,4000,0.1,400,0.9,4,18.1818
radix,4000,0.1,400,0.9,4,18.1818
flashinfer,4000,0.1,400,0.9,4,18.1818
cdc,4000,0.1,400,0.9,4,9.8864
pic_lean,4000,0.1,400,0.9,4,15.8182
vllm_apc,4000,0.25,1000,0.1,0,91.9872
radix,4000,0.25,1000,0.1,0,92.0
flashinfer,4000,0.25,1000,0.1,0,92.0
cdc,4000,0.25,1000,0.1,0,20.2
pic_lean,4000,0.25,1000,0.1,0,25.92
vllm_apc,4000,0.25,1000,0.1,1,91.9872
radix,4000,0.25,1000,0.1,1,92.0
flashinfer,4000,0.25,1000,0.1,1,92.0
cdc,4000,0.25,1000,0.1,1,20.14
pic_lean,4000,0.25,1000,0.1,1,25.92
vllm_apc,4000,0.25,1000,0.1,2,91.9872
radix,4000,0.25,1000,0.1,2,92.0
flashinfer,4000,0.25,1000,0.1,2,92.0
cdc,4000,0.25,1000,0.1,2,21.12
pic_lean,4000,0.25,1000,0.1,2,25.92
vllm_apc,4000,0.25,1000,0.1,3,91.9872
